time,open,high,low,close,volume
2013-06-12,38.44,39.17,37.71,37.71,387250
2013-06-13,38.46,38.84,37.63,38.09,327130
2013-06-14,38.09,38.46,36.95,36.95,336710
2013-06-17,36.95,37.71,35.67,35.75,498610
2013-06-18,35.6,36.2,35.45,35.97,314090
2013-06-19,36.5,37.56,36.2,37.33,283270
2013-06-20,36.95,37.48,36.2,36.2,226720
2013-06-21,36.05,36.95,35.9,35.9,631730
2013-06-24,36.12,36.12,34.31,34.62,652620
2013-06-25,34.31,34.54,32.2,32.43,752980
2013-06-26,31.75,32.66,30.92,31.3,655490
2013-06-27,31.3,32.28,31.3,32.2,373900
2013-06-28,32.58,32.81,31.75,31.75,384410
2013-07-01,31.75,31.98,31.0,31.45,215080
2013-07-02,31.3,32.81,31.3,32.81,441260
2013-07-03,32.66,32.81,32.05,32.05,328970
2013-07-04,32.35,32.35,32.05,32.05,111030
2013-07-05,32.35,32.43,31.98,31.98,231780
2013-07-08,31.98,32.28,31.67,32.13,163890
2013-07-09,32.13,32.2,31.83,31.9,66040
2013-07-10,32.2,32.2,31.45,31.45,228200
2013-07-11,31.52,31.6,30.92,31.3,383780
2013-07-12,31.45,32.13,31.45,32.13,253280
2013-07-15,32.28,33.03,32.2,32.73,393400
2013-07-16,32.5,32.81,32.5,32.58,209650
2013-07-17,32.5,32.58,32.13,32.35,292530
2013-07-18,32.43,32.58,32.13,32.13,208690
2013-07-19,32.13,33.48,32.13,33.18,498370
2013-07-22,33.56,34.92,33.56,34.92,795220
2013-07-23,34.77,34.77,33.26,33.64,257300
2013-07-24,33.64,33.71,32.58,32.58,335750
2013-07-25,32.58,32.81,31.67,31.67,329660
2013-07-26,32.05,32.73,31.45,32.05,288430
2013-07-29,32.05,32.05,31.0,31.15,259560
2013-07-30,31.15,31.67,31.15,31.6,124180
2013-07-31,31.67,31.67,31.3,31.45,242200
2013-08-01,31.37,31.52,30.92,31.15,424170
2013-08-02,31.15,31.83,31.15,31.45,152070
2013-08-05,31.75,31.75,31.3,31.52,211440
2013-08-06,31.52,31.67,31.3,31.52,163470
2013-08-07,31.52,32.13,31.37,31.75,452160
2013-08-08,31.75,32.2,31.37,31.37,226050
2013-08-09,31.6,31.83,31.52,31.52,397980
2013-08-12,31.67,31.9,31.37,31.52,116310
2013-08-13,31.67,31.67,31.07,31.07,274170
2013-08-14,31.3,31.52,31.0,31.52,376600
2013-08-15,31.52,32.05,31.52,31.6,683660
2013-08-16,31.67,31.83,31.45,31.6,344680
2013-08-19,31.83,32.66,31.67,32.13,887740
2013-08-20,32.2,32.35,31.75,31.75,377410
2013-08-21,31.75,31.83,31.37,31.52,388030
2013-08-22,31.67,31.67,30.85,31.0,533840
2013-08-23,31.07,31.22,28.88,29.19,1442460
2013-08-26,29.19,29.49,28.05,29.41,716250
2013-08-27,29.41,29.41,28.66,28.66,241540
2013-08-28,28.21,28.28,26.85,26.85,1126120
2013-08-29,27.07,27.38,25.64,25.64,1023100
2013-08-30,25.64,27.07,25.34,27.07,516020
2013-09-03,27.15,27.83,26.85,26.85,570120
2013-09-04,26.85,26.92,25.94,26.09,445240
2013-09-05,26.17,27.68,26.17,27.6,742230
2013-09-06,27.83,28.21,27.07,27.9,826040
2013-09-09,27.53,27.6,26.92,27.0,497550
2013-09-10,27.15,27.53,27.15,27.38,447830
2013-09-11,27.53,27.83,27.15,27.45,510290
2013-09-12,27.3,27.53,27.23,27.3,265410
2013-09-13,27.3,27.68,27.23,27.23,812070
2013-09-16,27.07,27.15,26.4,26.47,1000040
2013-09-17,26.47,26.92,26.47,26.77,267790
2013-09-18,26.77,26.85,26.32,26.32,343260
2013-09-19,26.77,27.75,26.7,27.0,1160760
2013-09-20,27.07,27.15,26.77,26.77,410790
2013-09-23,26.7,27.15,26.62,27.0,353000
2013-09-24,27.07,27.75,27.0,27.6,876510
2013-09-25,27.75,28.51,27.68,27.98,1161240
2013-09-26,27.98,28.21,27.68,27.9,491080
2013-09-27,28.05,28.36,27.68,27.9,639960
2013-09-30,27.98,28.43,27.98,28.21,446980
2013-10-01,28.36,29.49,28.21,28.96,1583450
2013-10-02,29.11,29.79,29.11,29.79,764300
2013-10-03,29.79,29.79,29.26,29.41,696740
2013-10-04,29.11,29.71,28.96,29.49,621780
2013-10-07,29.56,30.47,29.56,30.32,706250
2013-10-08,30.17,30.39,29.79,30.02,737000
2013-10-09,30.02,30.17,29.56,29.56,454490
2013-10-10,29.56,29.79,29.04,29.04,867570
2013-10-11,29.26,29.56,29.11,29.11,499030
2013-10-14,29.04,29.19,28.66,28.66,281280
2013-10-15,28.66,29.04,28.66,28.88,296100
2013-10-16,28.96,29.56,28.96,29.41,306310
2013-10-17,29.86,29.86,29.49,29.49,307310
2013-10-18,29.41,29.71,29.26,29.64,409730
2013-10-21,29.79,30.69,29.64,30.17,839130
2013-10-22,30.17,30.17,29.64,29.86,303390
2013-10-23,30.02,30.77,30.02,30.62,719880
2013-10-24,30.62,31.15,30.47,30.62,653950
2013-10-25,30.62,30.77,30.17,30.32,381110
2013-10-28,30.32,30.62,29.86,29.86,243490
2013-10-29,29.64,30.54,29.56,30.39,324090
2013-10-30,30.47,30.47,30.17,30.39,182400
2013-10-31,30.17,30.32,29.86,30.02,264420
2013-11-01,30.02,30.02,29.71,29.71,257000
2013-11-04,29.71,29.94,29.71,29.79,162180
2013-11-05,29.79,30.24,29.79,30.24,276400
2013-11-06,30.24,30.54,30.24,30.39,294640
2013-11-07,30.39,30.47,30.02,30.02,210070
2013-11-08,29.94,30.17,29.79,29.86,263450
2013-11-11,29.79,30.24,29.79,30.09,353930
2013-11-12,30.09,30.17,29.56,29.71,405890
2013-11-13,29.71,29.71,29.34,29.41,426440
2013-11-14,29.71,29.71,29.41,29.41,158670
2013-11-15,29.64,29.79,29.49,29.64,119940
2013-11-18,29.94,30.09,29.86,29.86,299580
2013-11-19,29.86,30.09,29.79,29.86,444430
2013-11-20,29.94,30.02,29.64,29.79,335130
2013-11-21,29.86,30.39,29.64,29.71,922030
2013-11-22,29.79,30.02,29.64,29.86,321260
2013-11-25,30.02,31.07,30.02,30.92,1360940
2013-11-26,30.85,31.6,30.77,31.22,638250
2013-11-27,31.22,31.6,31.15,31.37,402030
2013-11-28,31.15,31.37,30.92,31.22,526090
2013-11-29,31.3,31.37,31.0,31.15,366970
2013-12-02,30.92,31.15,30.62,30.69,350780
2013-12-03,30.62,31.37,30.62,31.15,364510
2013-12-04,31.3,31.3,30.92,30.92,263340
2013-12-05,30.69,30.92,30.47,30.54,370060
2013-12-06,30.54,31.07,30.47,30.54,236720
2013-12-09,30.85,30.85,30.54,30.54,278460
2013-12-10,30.85,30.85,30.17,30.24,281700
2013-12-11,30.32,30.39,29.34,29.41,850210
2013-12-12,29.41,30.24,29.41,29.79,641530
2013-12-13,29.86,30.02,29.56,29.56,289410
2013-12-16,29.56,29.79,29.26,29.26,354730
2013-12-17,29.26,29.56,29.11,29.41,445950
2013-12-18,29.19,29.41,29.19,29.34,146390
2013-12-19,29.34,29.56,29.26,29.26,320230
2013-12-20,29.41,29.79,29.19,29.19,911900
2013-12-23,29.71,29.71,29.26,29.49,207330
