time,open,high,low,close,volume
2013-06-06,6.15,6.45,6.12,6.45,4857410
2013-06-07,6.68,6.87,6.58,6.84,4224740
2013-06-10,6.87,6.87,6.55,6.55,1680130
2013-06-11,6.51,6.51,6.38,6.38,1852170
2013-06-12,6.32,6.48,6.32,6.38,920610
2013-06-13,6.38,6.41,6.28,6.32,883280
2013-06-14,6.38,6.41,6.28,6.32,1194500
2013-06-17,6.32,6.32,6.19,6.19,1217160
2013-06-18,6.15,6.22,6.12,6.19,616920
2013-06-19,6.22,6.48,6.22,6.41,1449960
2013-06-20,6.38,6.45,6.32,6.35,1246830
2013-06-21,6.32,6.38,6.28,6.38,831160
2013-06-24,6.41,6.55,6.35,6.41,1769760
2013-06-25,6.41,6.41,6.15,6.25,2185700
2013-06-26,6.25,6.51,6.25,6.41,2026210
2013-06-27,6.51,6.68,6.45,6.58,3602320
2013-06-28,6.58,6.68,6.51,6.55,3422360
2013-07-01,6.55,6.55,6.38,6.38,265280
2013-07-02,6.38,6.45,6.38,6.38,385640
2013-07-03,6.45,6.48,6.41,6.41,169360
2013-07-04,6.48,6.48,6.38,6.38,264250
2013-07-05,6.41,6.45,6.38,6.38,290270
2013-07-08,6.41,6.45,6.38,6.41,197290
2013-07-09,6.45,6.48,6.38,6.45,203500
2013-07-10,6.45,6.48,6.41,6.41,123670
2013-07-11,6.41,6.41,6.38,6.38,95050
2013-07-12,6.41,6.48,6.41,6.48,165520
2013-07-15,6.58,6.68,6.55,6.55,578440
2013-07-16,6.61,6.61,6.51,6.51,345610
2013-07-17,6.55,6.55,6.48,6.55,218120
2013-07-18,6.55,6.55,6.45,6.45,345750
2013-07-19,6.58,6.58,6.45,6.48,327670
2013-07-22,6.51,6.55,6.41,6.41,169320
2013-07-23,6.41,6.51,6.41,6.51,394020
2013-07-24,6.51,6.51,6.38,6.38,498330
2013-07-25,6.41,6.45,6.38,6.38,241440
2013-07-26,6.41,6.41,6.32,6.38,279050
2013-07-29,6.38,6.38,6.28,6.28,323740
2013-07-30,6.28,6.35,6.28,6.32,202530
2013-07-31,6.32,6.32,6.28,6.28,158790
2013-08-01,6.25,6.35,6.25,6.32,50980
2013-08-02,6.32,6.38,6.32,6.32,60970
2013-08-05,6.32,6.32,6.28,6.28,135220
2013-08-06,6.28,6.28,6.25,6.28,207710
2013-08-07,6.28,6.28,6.25,6.25,135890
2013-08-08,6.28,6.28,6.25,6.25,219910
2013-08-09,6.28,6.28,6.22,6.25,114210
2013-08-12,6.28,6.28,6.22,6.22,217870
2013-08-13,6.22,6.25,6.22,6.22,596500
2013-08-14,6.22,6.25,6.22,6.25,389760
2013-08-15,6.35,6.41,6.32,6.35,577360
2013-08-16,6.38,6.38,6.32,6.35,358260
2013-08-19,6.38,6.41,6.35,6.38,265510
2013-08-20,6.38,6.38,6.32,6.32,396750
2013-08-21,6.32,6.32,6.28,6.28,276770
2013-08-22,6.28,6.32,6.22,6.22,382960
2013-08-23,6.28,6.28,6.19,6.22,691490
2013-08-26,6.25,6.25,6.15,6.19,428470
2013-08-27,6.22,6.32,6.19,6.28,396000
2013-08-28,6.28,6.28,6.12,6.19,636480
2013-08-29,6.41,6.48,6.32,6.35,1829100
2013-08-30,6.38,6.38,6.28,6.38,864080
2013-09-03,6.41,6.45,6.32,6.32,692370
2013-09-04,6.28,6.38,6.28,6.35,515960
2013-09-05,6.35,6.41,6.35,6.38,585110
2013-09-06,6.48,6.48,6.3,6.3,1151800
2013-09-09,6.33,6.37,6.22,6.22,435470
2013-09-10,6.26,6.33,6.22,6.26,364320
2013-09-11,6.3,6.33,6.22,6.22,389180
2013-09-12,6.22,6.26,6.18,6.18,456860
2013-09-13,6.18,6.22,6.14,6.14,475590
2013-09-16,6.18,6.18,6.07,6.07,353770
2013-09-17,6.07,6.07,5.99,6.03,450970
2013-09-18,5.99,6.03,5.88,5.92,702540
2013-09-19,5.96,6.07,5.96,6.03,286620
2013-09-20,6.07,6.11,6.03,6.03,306090
2013-09-23,6.03,6.07,5.99,6.07,278410
2013-09-24,6.07,6.14,6.03,6.07,380100
2013-09-25,6.11,6.18,6.07,6.18,422120
2013-09-26,6.18,6.18,6.11,6.18,147890
2013-09-27,6.18,6.18,6.11,6.11,230060
2013-09-30,6.14,6.37,6.14,6.26,814480
2013-10-01,6.3,6.48,6.3,6.41,1603090
2013-10-02,6.41,6.45,6.37,6.41,479020
2013-10-03,6.41,6.41,6.33,6.41,589400
2013-10-04,6.37,6.41,6.33,6.37,501140
2013-10-07,6.41,6.63,6.37,6.63,1211440
2013-10-08,6.63,6.75,6.6,6.67,1218540
2013-10-09,6.63,6.67,6.56,6.56,584850
2013-10-10,6.52,6.6,6.52,6.56,573940
2013-10-11,6.56,6.6,6.52,6.52,524950
2013-10-14,6.52,6.56,6.48,6.52,313530
2013-10-15,6.52,6.56,6.48,6.52,546740
2013-10-16,6.48,6.71,6.48,6.63,1610260
2013-10-17,6.71,6.75,6.63,6.67,1146020
2013-10-18,6.67,6.67,6.63,6.67,261130
2013-10-21,6.67,6.71,6.63,6.67,930340
2013-10-22,6.67,6.67,6.56,6.56,270550
2013-10-23,6.56,6.6,6.56,6.56,267190
2013-10-24,6.56,6.67,6.52,6.6,665300
2013-10-25,6.56,6.63,6.52,6.6,395240
2013-10-28,6.6,6.6,6.52,6.52,231680
2013-10-29,6.52,6.56,6.52,6.56,287200
2013-10-30,6.56,6.71,6.56,6.67,1079510
2013-10-31,6.67,6.67,6.56,6.56,209580
2013-11-01,6.63,6.63,6.56,6.6,244880
2013-11-04,6.6,6.6,6.52,6.56,432580
2013-11-05,6.56,6.56,6.48,6.52,277730
2013-11-06,6.52,6.56,6.48,6.52,412070
2013-11-07,6.52,6.56,6.48,6.52,322950
2013-11-08,6.52,6.52,6.45,6.52,368550
2013-11-11,6.45,6.52,6.45,6.52,698170
2013-11-12,6.48,6.52,6.45,6.48,495820
2013-11-13,6.48,6.48,6.45,6.45,328310
2013-11-14,6.45,6.48,6.41,6.45,240560
2013-11-15,6.45,6.52,6.45,6.48,428120
2013-11-18,6.45,6.52,6.45,6.48,373520
2013-11-19,6.52,6.52,6.48,6.48,313400
2013-11-20,6.48,6.48,6.41,6.45,385430
2013-11-21,6.45,6.52,6.45,6.45,987420
2013-11-22,6.48,6.48,6.45,6.45,302800
2013-11-25,6.48,6.48,6.45,6.45,225870
2013-11-26,6.48,6.48,6.41,6.48,1100920
2013-11-27,6.48,6.52,6.45,6.48,579030
2013-11-28,6.48,6.56,6.45,6.48,471800
2013-11-29,6.52,6.52,6.48,6.48,373380
2013-12-02,6.48,6.52,6.48,6.52,251300
2013-12-03,6.52,6.52,6.41,6.45,909460
2013-12-04,6.45,6.48,6.45,6.48,776500
2013-12-05,6.48,6.48,6.41,6.45,575030
2013-12-06,6.45,6.48,6.41,6.48,1092140
2013-12-09,6.48,6.48,6.45,6.45,272670
2013-12-10,6.45,6.45,6.41,6.45,332260
2013-12-11,6.45,6.45,6.37,6.37,596550
2013-12-12,6.33,6.37,6.33,6.37,466380
2013-12-13,6.41,6.41,6.33,6.37,332290
2013-12-16,6.37,6.41,6.33,6.37,191020
2013-12-17,6.37,6.37,6.26,6.33,894590
2013-12-18,6.3,6.33,6.26,6.3,358020
2013-12-19,6.3,6.37,6.26,6.3,572270
2013-12-20,6.3,6.33,6.26,6.3,260420
2013-12-23,6.3,6.33,6.3,6.3,173680
2013-12-24,6.3,6.3,6.22,6.26,768970
