time,open,high,low,close,volume
2013-06-12,26.05,26.05,25.47,25.9,3300
2013-06-13,25.61,25.76,24.89,24.89,25340
2013-06-14,25.76,25.76,25.04,25.18,4940
2013-06-17,25.76,25.76,24.6,24.6,18220
2013-06-18,24.6,25.04,24.6,25.04,4630
2013-06-19,25.9,25.9,25.33,25.47,9630
2013-06-20,25.33,25.47,25.18,25.33,25890
2013-06-21,25.33,25.76,25.33,25.76,4690
2013-06-24,25.76,25.76,25.18,25.47,16730
2013-06-25,25.33,25.47,24.6,25.18,8270
2013-06-26,25.61,25.61,24.89,25.47,12920
2013-06-27,25.61,25.61,25.04,25.33,10110
2013-06-28,25.47,25.47,24.89,25.18,12000
2013-07-01,25.18,25.18,24.89,25.18,7380
2013-07-02,25.61,25.61,25.47,25.47,19330
2013-07-03,25.33,25.61,25.33,25.61,16340
2013-07-04,25.61,25.76,25.47,25.76,2470
2013-07-05,25.76,26.05,25.61,26.05,23110
2013-07-08,26.19,26.19,25.9,25.9,11710
2013-07-09,26.05,26.34,26.05,26.19,9180
2013-07-10,26.19,26.48,26.19,26.19,13570
2013-07-11,26.34,27.79,26.34,27.21,46060
2013-07-12,27.21,27.21,26.92,27.21,16290
2013-07-15,27.5,27.5,27.21,27.21,6100
2013-07-16,27.21,27.35,26.92,27.35,23350
2013-07-17,27.35,27.79,27.06,27.79,50720
2013-07-18,27.93,28.36,27.79,28.07,21910
2013-07-19,28.36,28.65,28.07,28.65,15650
2013-07-22,28.65,30.39,28.65,30.39,62040
2013-07-23,31.26,32.42,30.39,30.39,53600
2013-07-24,30.68,30.68,29.23,29.81,29450
2013-07-25,28.94,31.55,28.94,30.68,49320
2013-07-26,30.68,32.13,30.68,31.55,40130
2013-07-29,31.84,31.84,30.68,31.26,11120
2013-07-30,30.68,31.26,30.39,30.97,10840
2013-07-31,30.68,31.84,30.68,31.55,46840
2013-08-01,31.26,32.99,30.97,32.71,73990
2013-08-02,32.99,33.86,32.99,33.57,37680
2013-08-05,34.44,35.6,33.57,35.02,95060
2013-08-06,35.02,35.02,34.15,34.73,26200
2013-08-07,35.02,35.02,34.15,34.15,33410
2013-08-08,33.86,33.86,33.28,33.57,46560
2013-08-09,33.28,33.57,32.99,33.57,20580
2013-08-12,33.28,33.86,32.99,33.57,7750
2013-08-13,33.57,33.86,32.99,32.99,21010
2013-08-14,32.71,33.57,32.71,33.57,83440
2013-08-15,33.72,34.31,33.72,34.31,36360
2013-08-16,33.72,33.72,33.13,33.43,12490
2013-08-19,33.13,33.72,33.13,33.72,24220
2013-08-20,33.43,34.01,33.13,33.72,46650
2013-08-21,34.31,34.31,33.43,33.72,34590
2013-08-22,33.43,33.43,32.84,32.84,41300
2013-08-23,32.55,32.55,31.96,31.96,48500
2013-08-26,31.96,31.96,30.49,31.67,47930
2013-08-27,31.08,31.37,30.49,30.79,24950
2013-08-28,30.79,30.79,28.73,29.03,64060
2013-08-29,29.03,29.91,27.86,29.32,35310
2013-08-30,29.32,30.2,29.03,30.2,16090
2013-09-03,31.08,31.96,30.49,31.96,25810
2013-09-04,31.67,32.55,31.37,31.96,15190
2013-09-05,31.96,31.96,30.79,31.67,10960
2013-09-06,31.67,31.67,30.79,31.67,4360
2013-09-09,31.37,31.37,29.91,30.2,16690
2013-09-10,30.2,31.67,30.2,31.37,22420
2013-09-11,32.25,32.25,31.67,32.25,32430
2013-09-12,31.96,32.55,31.96,32.25,20730
2013-09-13,32.25,32.55,31.96,32.55,14000
2013-09-16,32.84,32.84,32.25,32.55,14550
2013-09-17,32.55,32.55,31.96,32.25,15690
2013-09-18,31.67,32.55,31.67,31.96,21070
2013-09-19,31.96,32.25,31.96,31.96,13420
2013-09-20,31.67,31.96,31.67,31.67,4420
