time,open,high,low,close,volume
2013-06-12,5.05,5.07,5.02,5.05,194000
2013-06-13,5.02,5.05,5.0,5.02,413530
2013-06-14,5.04,5.04,4.96,4.96,257590
2013-06-17,5.0,5.0,4.85,4.85,245350
2013-06-18,4.85,4.85,4.78,4.82,179510
2013-06-19,4.83,4.87,4.81,4.83,105860
2013-06-20,4.85,4.85,4.79,4.81,144390
2013-06-21,4.78,4.79,4.72,4.79,249940
2013-06-24,4.79,4.79,4.74,4.77,157140
2013-06-25,4.74,4.76,4.6,4.65,668790
2013-06-26,4.61,4.67,4.61,4.66,171080
2013-06-27,4.69,4.7,4.65,4.67,171250
2013-06-28,4.77,4.77,4.69,4.69,113820
2013-07-01,4.73,4.73,4.67,4.72,42960
2013-07-02,4.73,4.81,4.72,4.76,82370
2013-07-03,4.78,4.78,4.74,4.78,144550
2013-07-04,4.79,4.94,4.78,4.87,526820
2013-07-05,4.87,4.91,4.84,4.9,193730
2013-07-08,4.91,4.91,4.83,4.83,112140
2013-07-09,4.83,4.83,4.74,4.78,88920
2013-07-10,4.78,4.79,4.75,4.77,42560
2013-07-11,4.78,4.78,4.74,4.76,108660
2013-07-12,4.75,4.83,4.75,4.83,102160
2013-07-15,4.86,4.86,4.79,4.84,75830
2013-07-16,4.86,4.93,4.84,4.9,107880
2013-07-17,4.94,4.94,4.91,4.91,145010
2013-07-18,4.91,4.94,4.86,4.86,65160
2013-07-19,4.91,4.93,4.86,4.93,113860
2013-07-22,4.97,4.97,4.88,4.93,66820
2013-07-23,4.93,4.93,4.88,4.9,95720
2013-07-24,4.85,4.87,4.83,4.83,239630
2013-07-25,4.87,4.91,4.83,4.87,107830
2013-07-26,4.9,4.9,4.81,4.82,58250
2013-07-29,4.82,4.82,4.72,4.74,179400
2013-07-30,4.73,4.83,4.72,4.83,90410
2013-07-31,4.86,4.86,4.79,4.83,83540
2013-08-01,4.83,4.84,4.82,4.82,77340
2013-08-02,4.86,4.87,4.84,4.85,77930
2013-08-05,4.86,5.1,4.86,5.0,564080
2013-08-06,5.0,5.09,5.0,5.07,475480
2013-08-07,5.11,5.24,5.09,5.2,826400
2013-08-08,5.2,5.2,5.07,5.07,363680
2013-08-09,5.07,5.12,5.06,5.12,204960
2013-08-12,5.14,5.14,5.07,5.1,199710
2013-08-13,5.1,5.15,5.07,5.11,426440
2013-08-14,5.11,5.13,5.09,5.13,198010
2013-08-15,5.26,5.36,5.21,5.32,805360
2013-08-16,5.31,5.34,5.25,5.34,320220
2013-08-19,5.34,5.53,5.33,5.47,538180
2013-08-20,5.46,5.47,5.39,5.43,448010
2013-08-21,5.43,5.43,5.22,5.39,472880
2013-08-22,5.39,5.39,5.24,5.27,373950
2013-08-23,5.28,5.29,5.17,5.19,440450
2013-08-26,5.18,5.2,5.11,5.18,199040
2013-08-27,5.21,5.21,5.13,5.15,122680
2013-08-28,5.08,5.11,4.9,4.97,433180
2013-08-29,4.95,5.05,4.95,4.95,139290
2013-08-30,4.99,5.01,4.93,5.0,229370
2013-09-03,5.07,5.07,4.97,4.97,58660
2013-09-04,5.0,5.03,4.95,4.98,255430
2013-09-05,5.01,5.08,4.97,5.07,241450
2013-09-06,5.1,5.21,5.06,5.14,265600
2013-09-09,5.14,5.14,4.98,5.01,136590
2013-09-10,5.01,5.1,5.01,5.05,61870
2013-09-11,5.1,5.14,5.03,5.03,232820
2013-09-12,5.0,5.06,4.99,4.99,192520
2013-09-13,4.97,5.03,4.97,4.97,109090
2013-09-16,4.98,4.99,4.95,4.96,171720
2013-09-17,4.98,5.03,4.95,4.98,158300
2013-09-18,5.03,5.08,4.99,5.03,206220
2013-09-19,5.06,5.1,5.04,5.04,137210
2013-09-20,5.04,5.07,5.04,5.05,44400
2013-09-23,5.05,5.17,5.05,5.15,322410
2013-09-24,5.17,5.29,5.17,5.25,335390
2013-09-25,5.26,5.27,5.18,5.2,252640
2013-09-26,5.2,5.25,5.17,5.25,179940
2013-09-27,5.26,5.26,5.18,5.22,134960
2013-09-30,5.27,5.27,5.21,5.24,191710
2013-10-01,5.21,5.26,5.2,5.2,309650
2013-10-02,5.2,5.25,5.2,5.24,125270
2013-10-03,5.24,5.24,5.19,5.2,180150
2013-10-04,5.22,5.32,5.2,5.29,435780
2013-10-07,5.28,5.37,5.28,5.35,244840
2013-10-08,5.35,5.35,5.29,5.33,150880
2013-10-09,5.33,5.35,5.29,5.31,203180
2013-10-10,5.29,5.32,5.24,5.24,259470
2013-10-11,5.26,5.28,5.21,5.22,194600
2013-10-14,5.24,5.24,5.19,5.21,164050
2013-10-15,5.24,5.28,5.22,5.28,147540
2013-10-16,5.31,5.31,5.26,5.31,361750
2013-10-17,5.35,5.39,5.31,5.33,413030
2013-10-18,5.34,5.43,5.34,5.36,470030
2013-10-21,5.36,5.41,5.35,5.36,357910
2013-10-22,5.33,5.36,5.33,5.34,213510
2013-10-23,5.32,5.36,5.32,5.36,228910
2013-10-24,5.34,5.4,5.34,5.34,257910
2013-10-25,5.33,5.34,5.28,5.29,257460
2013-10-28,5.34,5.34,5.27,5.27,90570
2013-10-29,5.25,5.31,5.25,5.29,118960
2013-10-30,5.29,5.37,5.29,5.34,251170
2013-10-31,5.35,5.35,5.32,5.32,136460
2013-11-01,5.34,5.34,5.32,5.34,124810
2013-11-04,5.35,5.35,5.32,5.34,55500
2013-11-05,5.34,5.34,5.33,5.33,170070
2013-11-06,5.34,5.35,5.33,5.35,147130
2013-11-07,5.34,5.35,5.32,5.32,205880
2013-11-08,5.32,5.34,5.32,5.34,142130
2013-11-11,5.35,5.36,5.33,5.35,147110
2013-11-12,5.35,5.41,5.35,5.37,277180
2013-11-13,5.4,5.4,5.35,5.36,77830
2013-11-14,5.37,5.4,5.36,5.37,108680
