time,open,high,low,close,volume
2015-11-26,21.65,21.65,21.45,21.55,122820
2015-11-27,21.5,21.5,21.25,21.25,240340
2015-11-30,21.06,21.06,20.36,20.41,495020
2015-12-01,20.51,20.71,20.31,20.31,283310
2015-12-02,20.31,20.46,20.21,20.31,543410
2015-12-03,20.21,20.21,19.82,19.97,498940
2015-12-04,19.97,20.21,19.92,19.97,508280
2015-12-07,19.82,19.87,19.52,19.52,698260
2015-12-08,19.27,19.47,18.83,19.47,778870
2015-12-09,19.47,19.47,19.17,19.17,269380
2015-12-10,19.07,19.17,18.88,18.88,393400
2015-12-11,18.88,19.12,18.78,19.02,360100
2015-12-14,18.78,18.83,18.38,18.53,660590
2015-12-15,18.78,19.07,18.73,18.88,408030
2015-12-16,19.07,19.17,18.98,19.02,260170
2015-12-17,18.83,19.02,18.78,18.78,352990
2015-12-18,18.78,18.83,18.58,18.63,225030
2015-12-21,18.63,18.68,18.13,18.18,667530
2015-12-22,18.18,18.43,18.18,18.28,364390
2015-12-23,18.28,18.43,18.23,18.33,197930
2015-12-24,18.73,18.98,18.53,18.53,499280
2015-12-25,18.63,18.78,18.53,18.58,263940
2015-12-28,18.68,18.68,18.23,18.23,238010
2015-12-29,18.13,18.33,17.84,18.08,279070
2015-12-30,18.08,18.33,17.94,18.08,167250
2015-12-31,18.13,18.13,17.94,17.94,162060
2016-01-04,18.28,18.33,17.94,17.94,182580
2016-01-05,17.94,18.08,17.84,17.89,233890
2016-01-06,17.89,18.03,17.89,17.98,105380
2016-01-07,17.84,17.84,17.09,17.09,759190
2016-01-08,17.14,17.39,17.04,17.34,332300
2016-01-11,17.34,17.49,17.24,17.34,324170
2016-01-12,16.89,17.24,16.89,17.19,337230
2016-01-13,17.19,17.69,17.19,17.34,473070
2016-01-14,17.34,17.34,16.99,17.04,435400
2016-01-15,17.14,17.29,16.99,16.99,214240
2016-01-18,16.8,16.8,15.8,15.8,1238200
2016-01-19,15.85,16.1,15.76,15.8,514120
2016-01-20,15.8,15.8,15.21,15.21,873730
2016-01-21,14.91,15.21,14.76,14.86,1009530
2016-01-22,15.06,15.9,14.96,15.85,1189260
2016-01-25,16.75,16.94,16.75,16.94,753540
2016-01-26,16.85,18.08,16.35,17.59,1059720
2016-01-27,18.08,18.43,17.94,18.08,967500
2016-01-28,18.33,18.63,17.98,18.18,1009030
2016-01-29,18.58,19.42,18.38,19.42,1288510
2016-02-01,19.52,19.57,18.58,18.58,1125880
2016-02-02,17.89,18.23,17.59,17.84,766710
2016-02-03,17.29,18.93,17.14,18.93,869550
2016-02-04,19.37,19.37,18.68,18.83,357750
2016-02-05,18.83,18.83,18.58,18.83,193980
2016-02-15,18.63,19.07,18.58,18.93,799110
2016-02-16,18.98,19.82,18.98,19.82,1364980
2016-02-17,19.72,19.77,19.32,19.52,765590
2016-02-18,20.07,20.81,20.02,20.66,1427340
2016-02-19,20.21,21.3,20.21,21.06,1219680
2016-02-22,20.96,21.45,20.96,21.25,691380
2016-02-23,21.4,22.29,21.4,21.45,1480380
2016-02-24,21.35,21.5,20.81,21.2,1509510
2016-02-25,21.7,21.7,20.71,20.71,686070
2016-02-26,21.06,21.25,20.81,21.06,787790
2016-02-29,21.2,21.45,21.11,21.16,612850
2016-03-01,21.35,21.9,21.16,21.6,909320
2016-03-02,21.8,22.05,21.7,21.85,779100
2016-03-03,22.15,22.49,22.15,22.39,775150
2016-03-04,22.29,22.99,22.2,22.94,1085350
2016-03-07,23.73,24.52,23.63,24.47,1965600
2016-03-08,24.77,25.52,23.78,23.88,1734860
2016-03-09,23.34,23.93,23.34,23.48,978270
2016-03-10,24.08,24.28,23.68,23.93,896680
2016-03-11,23.93,23.98,23.63,23.83,926390
2016-03-14,23.98,24.13,23.83,23.88,535200
2016-03-15,23.63,23.63,22.94,23.04,1433850
2016-03-16,23.09,23.38,22.99,23.24,609350
2016-03-17,24.63,24.69,24.27,24.27,1231580
2016-03-18,24.63,24.63,23.91,23.91,739470
2016-03-21,23.81,23.91,23.29,23.29,670640
2016-03-22,23.65,24.06,23.08,23.55,1011840
2016-03-23,23.55,24.06,23.49,24.01,612230
2016-03-24,23.7,23.81,23.34,23.34,855580
2016-03-25,23.24,23.49,23.13,23.39,750070
2016-03-28,23.44,23.55,23.29,23.39,273940
2016-03-29,23.24,23.24,22.51,22.51,824770
2016-03-30,22.41,22.67,22.15,22.25,607540
2016-03-31,22.15,22.15,21.22,21.22,814690
2016-04-01,21.22,21.58,21.17,21.48,470820
2016-04-04,20.8,21.48,20.8,20.91,697070
2016-04-05,20.7,21.22,20.49,21.22,813570
2016-04-06,21.79,22.25,21.63,22.25,844500
2016-04-07,22.82,23.03,22.56,22.82,1021450
2016-04-08,23.55,23.55,22.62,22.82,693050
2016-04-11,23.39,23.65,23.24,23.29,968630
2016-04-12,23.29,23.6,23.29,23.55,914510
2016-04-13,23.96,24.32,23.65,23.91,1273840
2016-04-14,23.55,23.96,23.55,23.75,714940
2016-04-15,23.81,24.22,23.81,23.96,880220
2016-04-19,23.29,23.34,22.82,22.93,1543460
2016-04-20,23.18,23.24,22.98,23.18,859070
2016-04-21,23.7,24.63,23.65,24.63,1430930
2016-04-22,24.32,25.62,24.32,25.62,2152670
2016-04-25,25.67,25.67,25.0,25.0,692070
2016-04-26,24.84,25.62,24.69,25.62,841390
2016-04-27,26.39,26.91,25.88,26.13,1114170
2016-04-28,26.39,27.17,26.13,26.39,1261820
2016-04-29,26.65,26.91,26.13,26.39,583190
2016-05-04,25.36,26.13,25.25,26.13,1295780
2016-05-05,26.13,26.65,25.88,25.88,536180
2016-05-06,25.88,26.91,25.77,26.13,816430
2016-05-09,26.65,26.65,25.88,26.39,576800
2016-05-10,25.88,26.39,25.62,26.39,974170
2016-05-11,26.39,26.91,26.13,26.91,630570
2016-05-12,27.17,27.95,26.91,27.17,786420
2016-05-13,27.17,27.95,26.91,27.95,780030
2016-05-16,27.69,28.72,27.69,28.72,818020
2016-05-17,29.5,30.53,29.24,30.53,1565850
2016-05-18,30.53,31.05,29.76,30.02,1128220
2016-05-19,29.5,30.02,29.24,29.76,779220
2016-05-20,30.27,30.27,29.5,29.76,671010
2016-05-23,29.76,29.76,28.98,29.24,488360
2016-05-24,28.98,29.5,28.46,29.24,470200
2016-05-25,29.76,30.02,29.5,29.76,379090
2016-05-26,29.76,30.02,29.24,29.5,401200
2016-05-27,29.24,29.5,28.98,29.24,280110
2016-05-30,29.5,29.76,28.98,29.5,400740
2016-05-31,29.5,31.31,29.5,31.05,972210
2016-06-01,30.79,31.31,30.53,31.05,407400
2016-06-02,30.79,31.83,30.79,31.83,543250
2016-06-03,31.83,32.34,31.31,31.31,337210
2016-06-06,31.05,31.57,30.79,31.31,321640
2016-06-07,32.09,32.09,31.31,31.83,170530
2016-06-08,32.34,32.6,31.31,31.31,595820
2016-06-09,31.57,32.09,31.57,32.09,423150
2016-06-10,31.57,32.09,31.31,31.31,555260
2016-06-13,30.53,31.05,30.27,31.05,751750
2016-06-14,31.05,31.57,30.53,31.05,511180
2016-06-15,30.79,32.09,30.53,31.83,564820
2016-06-16,31.57,31.83,31.05,31.05,398130
2016-06-17,30.53,31.31,30.53,30.79,329190
2016-06-20,31.31,31.83,31.05,31.83,322630
2016-06-21,31.83,32.09,31.31,31.31,277680
2016-06-22,31.57,31.83,31.31,31.31,129740
2016-06-23,31.31,31.57,31.31,31.57,135840
2016-06-24,31.83,31.83,29.5,31.05,991960
2016-06-27,30.27,31.57,30.02,31.31,249890
2016-06-28,30.53,31.31,30.53,31.31,123320
2016-06-29,31.31,32.09,31.31,32.09,452560
2016-06-30,32.6,33.38,32.34,32.34,336610
2016-07-01,32.6,34.41,32.6,33.9,708190
2016-07-04,34.16,34.41,33.9,34.41,204330
2016-07-05,34.41,34.93,33.64,33.9,430750
2016-07-06,33.38,33.9,33.12,33.38,461320
2016-07-07,33.64,34.67,33.38,34.67,468190
2016-07-08,34.16,34.67,33.64,34.16,764050
2016-07-11,33.64,34.16,32.86,33.12,620090
2016-07-12,33.12,33.64,33.12,33.38,516910
2016-07-13,33.9,34.67,33.64,34.16,686300
2016-07-14,33.9,34.41,33.38,33.38,423230
2016-07-15,33.64,33.64,33.12,33.12,308940
2016-07-18,33.38,33.64,33.12,33.64,218600
2016-07-19,33.38,33.64,32.34,33.12,509820
2016-07-20,32.86,33.12,32.34,32.34,370850
2016-07-21,32.6,33.38,32.34,32.6,364630
2016-07-22,32.09,32.09,30.79,31.83,527280
2016-07-25,31.83,32.6,31.31,32.09,258480
2016-07-26,31.83,31.83,30.53,30.53,476690
2016-07-27,30.53,31.31,30.53,31.31,431140
