time,open,high,low,close,volume
2013-06-06,8.71,9.13,8.71,9.02,467520
2013-06-07,9.19,9.33,8.91,9.33,612010
2013-06-10,9.33,9.38,8.99,8.99,414590
2013-06-11,8.96,9.02,8.85,8.88,339650
2013-06-12,8.88,9.05,8.82,8.82,287820
2013-06-13,8.88,8.88,8.68,8.82,319120
2013-06-14,8.96,8.96,8.63,8.63,233340
2013-06-17,8.46,8.49,8.12,8.12,507430
2013-06-18,8.04,8.26,7.98,8.12,148970
2013-06-19,8.15,8.26,8.09,8.15,102130
2013-06-20,8.15,8.18,7.92,7.92,373550
2013-06-21,7.87,7.87,7.67,7.7,761570
2013-06-24,7.64,7.84,7.59,7.81,399070
2013-06-25,7.73,7.73,7.28,7.28,441490
2013-06-26,7.28,7.39,6.97,6.97,563320
2013-06-27,6.97,7.28,6.97,7.28,482870
2013-06-28,7.39,7.39,7.08,7.08,179700
2013-07-01,7.08,7.08,6.86,7.0,192010
2013-07-02,7.03,7.22,7.03,7.22,379140
2013-07-03,7.22,7.7,7.2,7.56,724310
2013-07-04,7.62,7.62,7.42,7.42,270820
2013-07-05,7.42,7.62,7.34,7.39,416250
2013-07-08,7.36,7.39,7.14,7.17,332710
2013-07-09,7.14,7.28,7.14,7.25,149020
2013-07-10,7.31,7.31,7.17,7.17,339300
2013-07-11,7.14,7.2,7.08,7.2,88210
2013-07-12,7.25,7.5,7.22,7.42,429590
2013-07-15,7.56,7.81,7.56,7.73,1210110
2013-07-16,7.78,8.01,7.76,7.92,585400
2013-07-17,7.84,7.92,7.78,7.81,382700
2013-07-18,7.76,7.98,7.76,7.81,723850
2013-07-19,7.84,7.95,7.78,7.84,420060
2013-07-22,7.84,7.87,7.64,7.76,424390
2013-07-23,7.73,7.78,7.67,7.67,356340
2013-07-24,7.64,7.87,7.64,7.7,718420
2013-07-25,7.7,7.76,7.28,7.28,354620
2013-07-26,7.36,7.45,7.11,7.34,350770
2013-07-29,7.28,7.28,6.92,6.92,603520
2013-07-30,6.89,7.22,6.89,7.2,388250
2013-07-31,7.08,7.17,7.0,7.06,386910
2013-08-01,7.03,7.2,7.0,7.06,193480
2013-08-02,7.06,7.22,7.06,7.17,281770
2013-08-05,7.17,7.25,7.08,7.08,157210
2013-08-06,7.14,7.28,7.08,7.22,420250
2013-08-07,7.22,7.53,7.22,7.45,647760
2013-08-08,7.39,7.5,7.31,7.31,345820
2013-08-09,7.28,7.42,7.28,7.34,346620
2013-08-12,7.36,7.36,7.22,7.28,188500
2013-08-13,7.39,7.5,7.31,7.36,847360
2013-08-14,7.36,7.45,7.34,7.42,499740
2013-08-15,7.42,7.84,7.34,7.73,1147220
2013-08-16,7.56,7.76,7.56,7.64,1027980
2013-08-19,7.62,7.76,7.62,7.64,420170
2013-08-20,7.62,7.62,7.42,7.53,605490
2013-08-21,7.53,7.53,7.28,7.42,479900
2013-08-22,7.36,7.39,7.14,7.2,562590
2013-08-23,7.22,7.28,7.06,7.06,594000
2013-08-26,7.06,7.22,6.97,7.2,379680
2013-08-27,7.2,7.2,7.08,7.11,224710
2013-08-28,7.06,7.06,6.72,6.8,907880
2013-08-29,6.86,6.92,6.5,6.5,421920
2013-08-30,6.5,6.58,6.36,6.58,291400
2013-09-03,6.69,6.75,6.44,6.44,318140
2013-09-04,6.44,6.5,6.24,6.33,303690
2013-09-05,6.33,6.47,6.3,6.44,228730
2013-09-06,6.47,6.69,6.44,6.61,356640
2013-09-09,6.55,6.55,6.38,6.38,303770
2013-09-10,6.44,6.58,6.44,6.52,159840
2013-09-11,6.58,6.64,6.47,6.55,296380
2013-09-12,6.5,6.55,6.5,6.55,154680
2013-09-13,6.55,6.64,6.52,6.58,181850
2013-09-16,6.66,6.78,6.66,6.72,438370
2013-09-17,6.75,6.75,6.64,6.72,226060
2013-09-18,6.69,6.72,6.55,6.55,175430
2013-09-19,6.64,6.75,6.61,6.72,378040
2013-09-20,6.66,6.75,6.66,6.75,938640
2013-09-23,6.72,6.86,6.64,6.86,291540
2013-09-24,6.86,7.0,6.86,6.97,538820
2013-09-25,7.0,7.08,6.94,6.97,523090
2013-09-26,6.97,7.0,6.83,6.92,315430
2013-09-27,6.94,7.17,6.94,7.06,711990
2013-09-30,7.14,7.28,7.11,7.22,508920
2013-10-01,7.22,7.31,7.08,7.11,695700
2013-10-02,7.11,7.22,7.08,7.08,428500
2013-10-03,7.08,7.2,7.06,7.17,332800
2013-10-04,7.17,7.2,7.14,7.14,299530
2013-10-07,7.22,7.39,7.17,7.36,409650
2013-10-08,7.36,7.36,7.22,7.34,442470
2013-10-09,7.28,7.34,7.2,7.22,339680
2013-10-10,7.28,7.39,7.22,7.28,988560
2013-10-11,7.34,7.7,7.34,7.48,891460
2013-10-14,7.45,7.53,7.39,7.42,297340
2013-10-15,7.48,7.7,7.45,7.7,816010
2013-10-16,7.7,8.06,7.7,7.92,1162760
2013-10-17,8.01,8.06,7.9,7.92,720780
2013-10-18,7.92,8.01,7.9,7.98,792890
2013-10-21,8.01,8.29,7.98,8.18,858210
2013-10-22,8.12,8.26,8.12,8.18,601560
2013-10-23,8.23,8.63,8.23,8.57,796600
2013-10-24,8.6,8.6,8.09,8.09,923420
2013-10-25,8.12,8.32,8.09,8.15,490900
2013-10-28,8.18,8.35,8.15,8.15,286440
2013-10-29,8.12,8.32,8.12,8.32,372380
2013-10-30,8.23,8.35,8.15,8.18,309560
2013-10-31,8.29,8.29,8.12,8.12,208390
2013-11-01,8.12,8.23,8.12,8.2,312540
2013-11-04,8.23,8.26,8.12,8.18,555740
2013-11-05,8.18,8.6,8.15,8.6,1027970
2013-11-06,8.68,8.88,8.63,8.85,533870
2013-11-07,8.91,8.91,8.63,8.65,551660
2013-11-08,8.57,8.74,8.57,8.63,542830
2013-11-11,8.63,8.77,8.63,8.65,327080
2013-11-12,8.65,8.68,8.35,8.35,630810
2013-11-13,8.35,8.49,8.26,8.32,352990
2013-11-14,8.29,8.4,8.23,8.37,257170
2013-11-15,8.4,8.54,8.4,8.54,307670
2013-11-18,8.6,8.77,8.54,8.57,761240
2013-11-19,8.57,8.68,8.54,8.6,420480
2013-11-20,8.63,8.65,8.51,8.6,506330
2013-11-21,8.57,8.68,8.46,8.51,1102950
2013-11-22,8.51,8.74,8.49,8.68,634420
2013-11-25,8.63,8.71,8.6,8.6,498870
2013-11-26,8.77,8.89,8.71,8.89,584790
2013-11-27,8.89,9.18,8.89,9.0,683270
2013-11-28,8.94,9.0,8.86,8.86,183650
2013-11-29,8.86,9.0,8.86,8.89,323850
2013-12-02,8.83,8.86,8.77,8.86,185090
