time,open,high,low,close,volume
2018-08-30,10.5,10.56,10.38,10.52,6445830
2018-08-31,10.56,10.7,10.5,10.6,6134410
2018-09-04,10.53,10.58,10.34,10.34,4474530
2018-09-05,10.29,10.41,10.21,10.24,4632970
2018-09-06,10.24,10.4,10.21,10.25,4485480
2018-09-07,10.24,10.56,10.24,10.53,5407420
2018-09-10,10.52,10.56,10.4,10.4,2575640
2018-09-11,10.36,10.66,10.36,10.61,6918510
2018-09-12,10.64,10.68,10.48,10.48,5608340
2018-09-13,10.53,10.68,10.48,10.54,4751230
2018-09-14,10.56,10.62,10.48,10.48,4652530
2018-09-17,10.42,10.52,10.38,10.46,2372700
2018-09-18,10.4,10.46,10.29,10.46,7281960
2018-09-19,10.56,10.58,10.5,10.52,4490210
2018-09-20,10.58,10.85,10.53,10.85,9974190
2018-09-21,10.88,10.98,10.78,10.95,14273500
2018-09-24,11.06,11.06,10.9,10.95,4430010
2018-09-25,10.88,10.98,10.84,10.94,4476220
2018-09-26,10.94,10.99,10.88,10.88,5014340
2018-09-27,10.93,11.03,10.9,11.02,5592570
2018-09-28,11.03,11.23,11.01,11.22,9618060
2018-10-01,11.22,11.39,11.15,11.25,6816120
2018-10-02,11.07,11.15,10.91,10.95,10602070
2018-10-03,10.88,11.03,10.88,10.95,4992960
2018-10-04,10.93,10.98,10.85,10.98,11906470
2018-10-05,10.98,11.11,10.93,10.99,6048270
2018-10-08,10.93,10.99,10.89,10.93,3740940
2018-10-09,11.01,11.01,10.88,10.88,3708340
2018-10-10,10.9,11.07,10.86,10.98,6742900
2018-10-11,10.64,10.77,10.42,10.58,15991110
2018-10-12,10.45,10.82,10.45,10.82,6596990
2018-10-15,10.8,10.8,10.66,10.7,4218380
2018-10-16,10.7,10.81,10.7,10.81,2908510
2018-10-17,10.93,10.94,10.84,10.88,5125430
2018-10-18,10.88,10.91,10.8,10.88,4084530
2018-10-19,10.8,10.89,10.72,10.81,4992750
2018-10-22,10.82,10.86,10.64,10.64,2565350
2018-10-23,10.6,10.6,10.32,10.48,10012340
2018-10-24,10.4,10.58,10.4,10.4,5213790
2018-10-25,10.08,10.38,10.04,10.34,7241940
2018-10-26,10.42,10.5,10.32,10.32,5147210
2018-10-29,10.25,10.32,10.24,10.3,4460930
2018-10-30,10.24,10.44,10.24,10.26,2685010
2018-10-31,10.37,10.68,10.36,10.68,4239400
2018-11-01,10.58,10.6,10.45,10.5,2241010
2018-11-02,10.61,10.65,10.56,10.61,3595700
2018-11-05,10.5,10.61,10.48,10.61,2233570
2018-11-06,10.64,10.65,10.5,10.5,1700170
2018-11-07,10.5,10.56,10.38,10.38,2813620
2018-11-08,10.57,10.57,10.32,10.32,2801350
2018-11-09,10.24,10.3,9.97,9.97,5710610
2018-11-12,9.97,10.01,9.85,9.96,2803560
2018-11-13,9.81,9.89,9.76,9.79,5403540
2018-11-14,9.77,9.77,9.35,9.5,8274360
2018-11-15,9.42,9.54,9.22,9.28,6829060
2018-11-16,9.42,9.47,9.3,9.34,2321900
2018-11-19,9.42,9.5,9.32,9.4,1664620
2018-11-20,9.44,9.72,9.39,9.68,5710000
2018-11-21,9.56,9.76,9.55,9.68,3805730
2018-11-22,9.71,9.75,9.5,9.5,2743490
2018-11-23,9.5,9.55,9.42,9.43,2056060
2018-11-26,9.44,9.6,9.43,9.44,2477200
2018-11-27,9.5,9.6,9.44,9.44,1896260
2018-11-28,9.47,9.51,9.27,9.34,4090120
2018-11-29,9.39,9.46,9.07,9.07,4059480
2018-11-30,9.02,9.02,8.81,8.81,7469210
2018-12-03,9.02,9.28,9.02,9.23,3769340
2018-12-04,9.28,9.34,9.08,9.18,4310860
2018-12-05,9.11,9.42,9.08,9.36,8092180
2018-12-06,9.31,9.39,9.15,9.18,4632240
2018-12-07,9.26,9.28,9.16,9.19,3363510
2018-12-10,9.15,9.18,8.93,8.95,5397970
2018-12-11,8.91,9.01,8.7,8.87,6978590
2018-12-12,8.89,8.95,8.75,8.91,3581530
2018-12-13,8.98,9.04,8.94,9.02,5480330
2018-12-14,9.01,9.01,8.86,8.89,3865790
2018-12-17,8.89,8.89,8.59,8.59,4480980
2018-12-18,8.41,8.5,8.13,8.25,8158460
2018-12-19,8.25,8.33,7.69,7.88,10969390
2018-12-20,7.85,8.0,7.77,7.94,6098080
2018-12-21,7.77,7.96,7.77,7.94,4460780
2018-12-24,7.94,8.09,7.94,8.09,3262070
2018-12-25,7.86,8.06,7.68,8.06,4800740
2018-12-26,8.06,8.06,7.89,8.04,3827010
2018-12-27,8.18,8.25,8.04,8.21,4873610
2018-12-28,8.17,8.21,8.09,8.21,7473800
2019-01-02,8.2,8.34,8.17,8.17,4196210
2019-01-03,8.16,8.2,7.82,7.82,6877510
2019-01-04,7.8,7.96,7.61,7.88,5841290
2019-01-07,8.04,8.05,7.73,7.78,2488920
