time,open,high,low,close,volume
2013-06-12,4.82,4.91,4.79,4.79,332930
2013-06-13,4.85,4.85,4.67,4.79,347150
2013-06-14,4.81,4.85,4.62,4.62,231900
2013-06-17,4.62,4.62,4.32,4.32,729470
2013-06-18,4.26,4.29,4.12,4.26,682240
2013-06-19,4.32,4.32,4.23,4.25,204040
2013-06-20,4.3,4.5,4.26,4.42,465260
2013-06-21,4.42,4.46,4.32,4.42,294020
2013-06-24,4.42,4.44,4.18,4.18,299040
2013-06-25,4.13,4.15,3.9,3.94,852170
2013-06-26,4.06,4.2,3.95,4.2,430180
2013-06-27,4.25,4.37,4.25,4.26,420580
2013-06-28,4.31,4.31,4.18,4.18,286140
2013-07-01,4.11,4.16,3.95,3.99,367410
2013-07-02,4.01,4.07,3.99,4.07,350710
2013-07-03,4.06,4.1,3.99,3.99,187900
2013-07-04,4.04,4.06,4.0,4.01,231750
2013-07-05,4.05,4.16,4.02,4.08,391170
2013-07-08,4.09,4.09,4.0,4.01,176110
2013-07-09,3.96,3.96,3.81,3.85,860360
2013-07-10,3.85,3.91,3.85,3.86,188690
2013-07-11,3.86,3.87,3.76,3.81,261030
2013-07-12,3.86,4.07,3.86,4.07,676120
2013-07-15,4.15,4.24,4.09,4.21,508610
2013-07-16,4.14,4.23,4.13,4.21,284200
2013-07-17,4.17,4.2,4.12,4.15,192790
2013-07-18,4.15,4.27,4.11,4.16,513510
2013-07-19,4.16,4.24,4.16,4.22,339370
2013-07-22,4.21,4.25,4.11,4.14,179540
2013-07-23,4.19,4.19,4.1,4.1,219000
2013-07-24,4.11,4.11,3.93,3.96,408970
2013-07-25,3.92,3.99,3.86,3.86,291930
2013-07-26,3.86,3.91,3.8,3.9,312900
2013-07-29,3.9,3.9,3.8,3.81,265230
2013-07-30,3.8,3.89,3.78,3.84,191060
2013-07-31,3.81,3.9,3.81,3.87,119400
2013-08-01,3.85,3.9,3.85,3.87,112760
2013-08-02,3.9,3.91,3.85,3.86,84380
2013-08-05,3.86,3.91,3.82,3.88,158320
2013-08-06,3.9,3.9,3.85,3.88,131490
2013-08-07,3.91,4.02,3.91,4.0,391790
2013-08-08,4.04,4.1,4.03,4.03,503660
2013-08-09,4.0,4.11,4.0,4.08,336090
