time,open,high,low,close,volume
2013-06-06,2.0,2.01,1.98,2.0,765270
2013-06-07,2.0,2.03,2.0,2.03,1191780
2013-06-10,2.06,2.06,2.03,2.03,860780
2013-06-11,2.03,2.04,2.01,2.01,664780
2013-06-12,2.01,2.03,2.0,2.01,753660
2013-06-13,2.01,2.01,1.98,2.0,487010
2013-06-14,2.01,2.01,2.0,2.0,410920
2013-06-17,2.0,2.0,1.97,1.97,1028200
2013-06-18,1.97,1.98,1.95,1.97,616320
2013-06-19,1.97,2.0,1.97,1.98,505280
2013-06-20,1.98,2.0,1.97,1.97,765110
2013-06-21,1.97,1.98,1.97,1.97,536240
2013-06-24,1.98,1.98,1.97,1.98,703510
2013-06-25,1.97,1.98,1.95,1.97,1774740
2013-06-26,1.97,1.98,1.95,1.97,520020
2013-06-27,1.97,2.0,1.97,2.0,531550
2013-06-28,1.98,2.0,1.97,2.0,362810
2013-07-01,1.97,1.98,1.97,1.97,281300
2013-07-02,1.97,1.98,1.97,1.98,509220
2013-07-03,1.97,1.98,1.97,1.98,831040
2013-07-04,1.98,2.0,1.97,1.98,346810
2013-07-05,1.98,2.0,1.98,1.98,380890
2013-07-08,1.98,2.0,1.97,1.98,410890
2013-07-09,1.97,1.98,1.97,1.98,294970
2013-07-10,1.98,2.0,1.97,1.98,344340
2013-07-11,1.98,1.98,1.98,1.98,359890
2013-07-12,1.98,2.0,1.98,1.98,289690
2013-07-15,1.98,2.0,1.97,2.0,287300
2013-07-16,2.0,2.0,1.98,2.0,312920
2013-07-17,1.98,2.0,1.98,2.0,178290
2013-07-18,1.98,2.0,1.98,1.98,175410
2013-07-19,2.0,2.0,1.98,2.0,382790
2013-07-22,2.0,2.0,1.98,1.98,267870
2013-07-23,1.98,2.0,1.98,1.98,129910
2013-07-24,1.98,2.0,1.98,1.98,514010
2013-07-25,1.98,2.0,1.97,1.97,357750
2013-07-26,1.98,2.0,1.97,1.97,589750
2013-07-29,1.98,2.0,1.97,1.98,391190
2013-07-30,1.98,2.0,1.97,1.98,481030
2013-07-31,1.98,2.0,1.98,1.98,336780
2013-08-01,1.98,2.0,1.98,1.98,755430
2013-08-02,1.98,2.0,1.97,1.98,265440
2013-08-05,1.98,1.98,1.98,1.98,637810
2013-08-06,1.98,2.0,1.98,2.0,222960
2013-08-07,1.98,2.0,1.98,1.98,278990
2013-08-08,1.98,2.0,1.98,2.0,140320
2013-08-09,1.98,2.0,1.98,1.98,286160
2013-08-12,1.98,2.0,1.98,1.98,95720
2013-08-13,1.98,2.0,1.98,1.98,201820
2013-08-14,1.98,2.0,1.98,1.98,470840
2013-08-15,1.98,2.0,1.98,2.0,494890
2013-08-16,2.0,2.0,1.98,1.98,365900
2013-08-19,1.98,2.01,1.98,2.0,837490
2013-08-20,2.0,2.01,1.98,2.0,142260
2013-08-21,2.0,2.0,1.98,2.0,411140
2013-08-22,1.98,2.0,1.98,2.0,207500
2013-08-23,1.98,2.0,1.98,1.98,444480
2013-08-26,1.98,1.98,1.97,1.98,468960
2013-08-27,1.98,2.0,1.97,1.98,302180
2013-08-28,1.98,1.98,1.95,1.98,361880
2013-08-29,1.97,1.98,1.97,1.97,104780
2013-08-30,1.97,1.98,1.97,1.98,110370
2013-09-03,1.98,1.98,1.97,1.97,205090
2013-09-04,1.97,1.98,1.95,1.97,70550
2013-09-05,1.97,1.98,1.95,1.97,236130
2013-09-06,1.97,1.98,1.97,1.98,158270
2013-09-09,1.97,1.98,1.95,1.95,354850
2013-09-10,1.97,1.98,1.95,1.97,196180
2013-09-11,1.97,1.98,1.97,1.97,312830
2013-09-12,1.97,1.98,1.95,1.97,564020
2013-09-13,1.97,1.98,1.95,1.97,519100
2013-09-16,1.97,1.98,1.95,1.97,211310
2013-09-17,1.97,1.98,1.97,1.97,230080
2013-09-18,1.97,1.98,1.95,1.97,250620
