time,open,high,low,close,volume
2015-12-08,6.46,6.57,6.4,6.51,2111780
2015-12-09,6.51,6.54,6.37,6.37,1465550
2015-12-10,6.4,6.43,6.37,6.37,1558860
2015-12-11,6.34,6.43,6.32,6.32,1448270
2015-12-14,6.48,6.54,6.4,6.46,3494550
2015-12-15,6.48,6.57,6.46,6.51,2678080
2015-12-16,6.54,6.57,6.46,6.46,773930
2015-12-17,6.51,6.51,6.43,6.43,627550
2015-12-18,6.43,6.51,6.4,6.51,18905770
2015-12-21,6.48,6.48,6.34,6.37,2024770
2015-12-22,6.37,6.43,6.34,6.34,1126230
2015-12-23,6.34,6.4,6.29,6.32,566140
2015-12-24,6.34,6.34,6.26,6.26,889900
2015-12-25,6.26,6.32,6.2,6.26,1014020
2015-12-28,6.26,6.32,6.2,6.2,1052150
2015-12-29,6.23,6.32,6.15,6.29,802650
2015-12-30,6.29,6.37,6.29,6.32,1063370
2015-12-31,6.34,6.34,6.23,6.26,803870
2016-01-04,6.23,6.29,6.12,6.12,792410
2016-01-05,6.0,6.12,5.89,5.89,2280930
2016-01-06,5.98,6.0,5.84,5.89,1278950
2016-01-07,5.89,5.89,5.67,5.72,2847940
2016-01-08,5.7,5.7,5.55,5.58,2369240
2016-01-11,5.64,5.72,5.58,5.61,2644860
2016-01-12,5.64,5.84,5.64,5.84,2131760
2016-01-13,5.89,5.98,5.75,5.84,1721020
2016-01-14,5.75,5.78,5.58,5.7,3155970
2016-01-15,5.7,5.72,5.58,5.58,2085960
2016-01-18,5.38,5.5,5.24,5.38,4832670
2016-01-19,5.38,5.5,5.38,5.44,2315540
2016-01-20,5.47,5.5,5.38,5.41,1239520
2016-01-21,5.41,5.47,5.33,5.36,2249060
2016-01-22,5.47,5.53,5.36,5.53,2494970
2016-01-25,5.64,5.89,5.61,5.89,4101660
2016-01-26,5.78,5.84,5.67,5.72,1832860
2016-01-27,5.78,5.86,5.78,5.78,1387190
2016-01-28,5.78,5.84,5.72,5.72,1534940
2016-01-29,5.75,5.81,5.7,5.78,1215980
2016-02-01,5.78,5.84,5.72,5.72,1562130
2016-02-02,5.7,5.75,5.67,5.72,1218740
2016-02-03,5.67,5.78,5.64,5.75,1113320
2016-02-04,5.75,5.84,5.75,5.81,1418510
2016-02-05,5.81,6.0,5.78,5.92,3966490
2016-02-15,5.81,5.92,5.81,5.86,2791950
2016-02-16,5.86,5.92,5.86,5.89,1705150
2016-02-17,5.89,6.03,5.89,5.92,3541920
2016-02-18,5.92,5.98,5.89,5.98,1917220
2016-02-19,5.98,6.03,5.95,5.98,1886420
2016-02-22,6.0,6.29,5.95,6.29,5858100
2016-02-23,6.37,6.48,6.29,6.32,4567270
2016-02-24,6.26,6.48,6.26,6.43,3131860
2016-02-25,6.43,6.46,6.29,6.32,4508900
2016-02-26,6.34,6.4,6.29,6.34,1938460
2016-02-29,6.34,6.43,6.34,6.34,1766130
2016-03-01,6.4,6.46,6.34,6.4,2165530
2016-03-02,6.46,6.57,6.43,6.54,4934030
2016-03-03,6.57,6.6,6.46,6.51,3256240
2016-03-04,6.48,6.51,6.43,6.43,2761180
2016-03-07,6.43,6.48,6.4,6.4,2239800
2016-03-08,6.4,6.43,6.32,6.32,2719170
2016-03-09,6.32,6.37,6.29,6.34,1487850
2016-03-10,6.34,6.48,6.34,6.46,2111220
2016-03-11,6.46,6.48,6.4,6.43,2197080
2016-03-14,6.43,6.46,6.37,6.4,2321160
2016-03-15,6.4,6.43,6.32,6.34,1960410
2016-03-16,6.34,6.37,6.29,6.29,1566050
2016-03-17,6.34,6.37,6.26,6.26,1671800
2016-03-18,6.29,6.32,6.2,6.2,6334410
2016-03-21,6.26,6.32,6.2,6.2,1879070
2016-03-22,6.2,6.23,6.09,6.09,1893670
2016-03-23,6.09,6.15,6.06,6.12,1966260
2016-03-24,6.12,6.29,6.09,6.15,2916260
2016-03-25,6.15,6.2,6.03,6.09,1686730
2016-03-28,6.12,6.12,6.06,6.09,934420
2016-03-29,6.09,6.09,5.89,5.95,4117880
2016-03-30,5.92,6.06,5.92,6.0,2057640
2016-03-31,6.0,6.06,5.92,5.95,2005320
2016-04-01,5.95,6.0,5.89,5.98,1877190
2016-04-04,5.98,6.03,5.92,6.0,1364350
2016-04-05,6.0,6.12,6.0,6.12,1810570
2016-04-06,6.12,6.17,6.12,6.15,1448590
2016-04-07,6.17,6.23,6.15,6.17,1745780
2016-04-08,6.15,6.2,6.12,6.12,2195720
2016-04-11,6.12,6.23,6.12,6.17,2214310
2016-04-12,6.17,6.2,6.15,6.15,1695110
2016-04-13,6.15,6.17,6.09,6.12,1777940
2016-04-14,6.12,6.17,6.09,6.12,1749110
2016-04-15,6.15,6.2,6.09,6.09,1525590
2016-04-19,6.09,6.12,5.95,6.0,2583780
2016-04-20,6.06,6.06,5.89,5.98,2188050
2016-04-21,6.06,6.06,5.95,5.98,1740550
2016-04-22,5.98,6.06,5.98,6.06,1503600
2016-04-25,6.12,6.26,6.12,6.23,4292840
2016-04-26,6.2,6.32,6.17,6.32,3508360
2016-04-27,6.32,6.32,6.17,6.17,1448130
2016-04-28,6.17,6.17,6.06,6.12,1138920
2016-04-29,6.12,6.12,6.03,6.03,1978300
2016-05-04,6.06,6.09,5.98,6.03,1398160
2016-05-05,6.03,6.09,6.0,6.03,1019120
2016-05-06,6.0,6.12,6.0,6.03,999080
2016-05-09,6.06,6.12,5.98,5.98,1094180
2016-05-10,5.92,5.95,5.86,5.86,1923510
2016-05-11,5.84,5.84,5.67,5.75,3356460
2016-05-12,5.75,5.81,5.7,5.75,1717150
2016-05-13,5.72,5.75,5.64,5.7,1717600
2016-05-16,5.7,5.84,5.64,5.81,2069630
2016-05-17,5.89,5.89,5.81,5.86,1380160
2016-05-18,5.86,5.89,5.78,5.84,988300
2016-05-19,5.81,5.84,5.78,5.81,632580
2016-05-20,5.78,5.84,5.75,5.84,772070
2016-05-23,5.84,5.86,5.78,5.86,541500
2016-05-24,5.81,5.86,5.78,5.84,577860
2016-05-25,5.81,5.92,5.81,5.81,1697240
2016-05-26,5.84,5.86,5.75,5.78,786180
2016-05-27,5.72,5.89,5.72,5.86,1666850
2016-05-30,5.89,6.09,5.86,6.09,3324320
2016-05-31,6.12,6.12,6.03,6.06,1434990
2016-06-01,6.03,6.2,6.0,6.0,1728430
2016-06-02,6.0,6.03,5.95,6.03,1334860
2016-06-03,6.06,6.12,6.0,6.0,1096410
2016-06-06,5.98,6.03,5.92,5.95,974990
2016-06-07,5.95,6.03,5.95,5.98,677330
2016-06-08,6.0,6.09,6.0,6.06,1455280
2016-06-09,6.06,6.26,6.03,6.15,3854420
2016-06-10,6.17,6.29,6.15,6.2,2808780
2016-06-13,6.12,6.17,6.06,6.09,1180020
2016-06-14,6.03,6.09,6.0,6.06,901450
2016-06-15,6.0,6.03,5.95,5.98,1385030
2016-06-16,5.98,6.06,5.95,5.98,1109590
2016-06-17,5.92,5.95,5.78,5.78,5363960
2016-06-20,5.92,5.92,5.84,5.89,1028350
2016-06-21,5.92,5.98,5.86,5.89,1059890
2016-06-22,5.89,5.92,5.84,5.86,1222010
2016-06-23,5.84,5.92,5.84,5.86,1274080
2016-06-24,5.92,5.92,5.47,5.72,2650420
2016-06-27,5.67,5.75,5.58,5.7,831540
2016-06-28,5.67,5.75,5.67,5.72,646550
2016-06-29,5.75,5.89,5.75,5.89,1542610
2016-06-30,5.89,5.95,5.78,5.86,1621390
2016-07-01,5.86,5.89,5.81,5.81,1189520
2016-07-04,5.89,6.2,5.89,6.2,4427420
2016-07-05,6.34,6.46,6.29,6.32,6599490
2016-07-06,6.26,6.37,6.23,6.32,2502190
2016-07-07,6.34,6.4,6.29,6.34,2820020
2016-07-08,6.37,6.48,6.32,6.4,4640490
2016-07-11,6.48,6.68,6.43,6.48,6262570
2016-07-12,6.6,6.65,6.48,6.6,3720810
2016-07-13,6.68,6.85,6.65,6.79,6090470
2016-07-14,6.82,6.82,6.65,6.65,4051720
2016-07-15,6.65,6.68,6.54,6.62,3453740
2016-07-18,6.6,6.71,6.6,6.68,2342070
2016-07-19,6.74,6.96,6.62,6.79,6465910
2016-07-20,6.82,6.85,6.65,6.68,2358760
2016-07-21,6.68,6.68,6.48,6.48,3986980
2016-07-22,6.43,6.43,6.26,6.34,4069580
2016-07-25,6.43,6.46,6.29,6.29,1256760
2016-07-26,6.26,6.34,6.2,6.32,1418240
2016-07-27,6.29,6.46,6.29,6.4,1834480
2016-07-28,6.43,6.65,6.4,6.54,2509940
2016-07-29,6.51,6.62,6.46,6.46,1295130
2016-08-01,6.48,6.48,6.34,6.43,791160
2016-08-02,6.34,6.34,6.17,6.23,3504930
2016-08-03,6.17,6.29,6.17,6.26,1425500
2016-08-04,6.29,6.34,6.12,6.2,1776550
2016-08-05,6.12,6.15,5.98,6.06,2224200
2016-08-08,6.09,6.12,6.0,6.03,976490
2016-08-09,6.0,6.09,5.98,6.03,840160
2016-08-10,6.03,6.2,6.03,6.12,1524630
2016-08-11,6.15,6.23,6.15,6.2,2124090
2016-08-12,6.2,6.26,6.15,6.15,1016160
2016-08-15,6.15,6.2,6.12,6.17,808330
2016-08-16,6.2,6.37,6.2,6.32,2608310
2016-08-17,6.32,6.34,6.23,6.32,1286840
2016-08-18,6.29,6.34,6.23,6.23,1293350
2016-08-19,6.26,6.26,6.12,6.12,1554910
2016-08-22,6.09,6.15,6.03,6.03,2166960
2016-08-23,6.09,6.12,6.06,6.09,681420
2016-08-24,6.06,6.15,6.06,6.06,569770
2016-08-25,6.06,6.06,6.0,6.03,862420
2016-08-26,6.06,6.2,6.06,6.12,1410980
2016-08-29,6.15,6.17,6.03,6.03,1086380
2016-08-30,6.03,6.06,5.95,5.95,1671650
2016-08-31,5.98,6.06,5.95,6.03,1793190
2016-09-01,6.06,6.09,6.0,6.03,940150
2016-09-05,6.03,6.06,5.95,5.95,1036600
2016-09-06,5.98,6.0,5.95,5.95,1094990
2016-09-07,5.98,6.0,5.95,6.0,770830
2016-09-08,5.98,6.06,5.98,6.0,729210
2016-09-09,6.03,6.15,6.0,6.09,1987290
2016-09-12,6.09,6.12,5.99,6.0,1366170
2016-09-13,5.98,6.05,5.94,5.95,1315090
2016-09-14,5.92,5.95,5.92,5.92,1518240
2016-09-15,5.92,5.94,5.86,5.86,1797440
2016-09-16,5.86,5.92,5.84,5.86,4373810
2016-09-19,5.92,6.06,5.92,6.05,1667500
2016-09-20,6.05,6.12,5.98,6.08,1784010
2016-09-21,6.12,6.17,6.09,6.16,2543800
2016-09-22,6.2,6.26,6.12,6.16,2182580
2016-09-23,6.17,6.23,6.09,6.09,2107710
2016-09-26,6.09,6.17,6.06,6.15,1115310
2016-09-27,6.15,6.19,6.13,6.19,990300
2016-09-28,6.23,6.32,6.22,6.32,2452100
2016-09-29,6.34,6.36,6.29,6.29,1861150
2016-09-30,6.29,6.32,6.26,6.29,1781390
2016-10-03,6.32,6.4,6.3,6.32,1691380
2016-10-04,6.32,6.41,6.32,6.37,1606960
2016-10-05,6.37,6.48,6.36,6.39,1055310
2016-10-06,6.41,6.41,6.3,6.32,2161880
2016-10-07,6.34,6.34,6.2,6.29,1672120
2016-10-10,6.23,6.37,6.23,6.29,1728140
2016-10-11,6.38,6.38,6.23,6.3,1443680
2016-10-12,6.32,6.33,6.24,6.24,693230
2016-10-13,6.21,6.29,6.17,6.29,1438930
