time,open,high,low,close,volume
2018-08-30,26.66,27.13,26.37,26.96,1336350
2018-08-31,26.96,27.04,26.2,26.41,1949400
2018-09-04,26.41,26.45,25.73,25.78,2050280
2018-09-05,25.78,26.11,25.48,25.61,1766180
2018-09-06,25.61,25.78,25.44,25.48,796450
2018-09-07,25.4,26.28,25.4,26.2,1595530
2018-09-10,26.2,26.45,25.82,26.2,1505560
2018-09-11,25.99,26.66,25.99,26.62,1543540
2018-09-12,26.71,26.87,26.41,26.45,1590110
2018-09-13,26.54,26.79,26.45,26.58,1069800
2018-09-14,26.71,27.21,26.71,27.04,2405940
2018-09-17,27.04,27.04,26.58,26.58,1007490
2018-09-18,26.41,26.75,26.33,26.75,1077110
2018-09-19,26.92,26.92,26.66,26.75,1075000
2018-09-20,26.75,27.3,26.75,27.21,1709890
2018-09-21,27.47,27.76,27.04,27.3,4889170
2018-09-24,27.68,27.76,27.38,27.55,1094970
2018-09-25,27.38,27.55,27.21,27.21,1031520
2018-09-26,27.21,27.42,26.96,26.96,2099660
2018-09-27,26.96,27.13,26.71,26.79,2121040
2018-09-28,26.92,27.04,26.62,26.62,2104400
2018-10-01,26.83,26.83,26.41,26.41,1932610
2018-10-02,26.41,26.66,26.28,26.62,1601040
2018-10-03,26.79,26.83,26.41,26.62,1034920
2018-10-04,26.62,27.04,26.54,26.62,2298750
2018-10-05,26.75,26.96,26.58,26.58,1633520
2018-10-08,26.54,26.71,26.36,26.36,1347760
2018-10-09,26.45,26.62,26.36,26.41,868060
2018-10-10,26.49,26.54,26.28,26.41,781330
2018-10-11,25.68,25.68,24.61,24.7,3432840
2018-10-12,24.4,25.64,24.4,25.64,2266290
2018-10-15,25.59,25.68,25.12,25.29,1155630
2018-10-16,25.25,25.51,25.21,25.34,1079700
2018-10-17,25.64,25.64,25.29,25.34,1293490
2018-10-18,25.25,25.34,24.78,24.82,1605080
2018-10-19,24.4,25.08,24.4,24.7,1188910
2018-10-22,25.04,25.17,24.44,24.44,1204690
2018-10-23,24.4,24.52,23.11,23.88,2346810
2018-10-24,23.88,24.22,23.75,23.75,1474260
2018-10-25,22.68,23.63,22.68,23.45,1744120
2018-10-26,23.92,23.92,22.9,22.9,1220360
2018-10-29,22.81,23.07,22.47,22.64,1261730
2018-10-30,22.64,23.24,22.56,23.2,1337430
2018-10-31,23.2,24.27,23.2,23.8,1245750
2018-11-01,23.88,23.92,23.45,23.54,1221200
2018-11-02,23.54,24.1,23.54,24.05,1136910
2018-11-05,23.92,24.18,23.8,24.18,873020
2018-11-06,24.4,24.4,23.88,23.88,667710
2018-11-07,23.88,24.05,23.58,23.75,668290
2018-11-08,24.27,24.31,23.84,23.84,575720
2018-11-09,23.63,23.84,23.24,23.24,885690
2018-11-12,23.11,23.37,22.6,23.37,687980
2018-11-13,22.81,23.24,22.81,22.94,601520
2018-11-14,22.94,23.24,22.6,22.77,530120
2018-11-15,22.77,22.94,22.47,22.85,828510
2018-11-16,23.11,23.15,22.73,22.77,1227840
2018-11-19,23.11,23.11,22.77,23.11,1145500
2018-11-20,23.11,23.11,22.81,23.03,1086240
2018-11-21,22.73,23.71,22.68,23.71,1908000
2018-11-22,23.54,23.75,23.41,23.45,961120
2018-11-23,23.41,23.54,23.11,23.11,897050
2018-11-26,23.11,23.24,22.98,23.11,673900
2018-11-27,23.28,23.41,22.77,22.85,1284900
2018-11-28,22.85,23.58,22.85,23.58,1483680
2018-11-29,23.8,24.14,23.54,23.54,2360280
2018-11-30,23.5,23.97,23.45,23.71,1430640
