time,open,high,low,close,volume
2017-02-28,60.7,60.7,60.7,60.7,12030
2017-03-01,64.92,64.92,64.92,64.92,99100
2017-03-02,69.42,69.42,69.42,69.42,190550
2017-03-03,74.25,74.25,69.42,74.25,2750050
2017-03-06,75.32,77.57,74.25,77.23,1155300
2017-03-07,77.23,77.28,73.12,74.47,901520
2017-03-08,73.12,74.47,71.1,73.07,916200
2017-03-09,72.34,73.63,72.34,73.41,635920
2017-03-10,73.41,73.63,72.39,73.63,436480
2017-03-13,73.91,74.14,73.24,73.63,566660
2017-03-14,73.29,73.52,72.79,72.79,410150
2017-03-15,72.51,72.79,68.01,68.29,662540
2017-03-16,68.29,68.57,65.48,65.48,477810
2017-03-17,64.97,68.01,63.51,66.04,496260
2017-03-20,67.45,70.65,66.6,70.65,307470
2017-03-21,70.65,72.96,70.48,70.48,348100
2017-03-22,70.26,70.76,69.36,70.26,380360
2017-03-23,70.26,71.66,70.09,70.82,402040
2017-03-24,71.38,72.45,71.38,71.94,557630
2017-03-27,72.23,73.63,72.23,73.01,454930
2017-03-28,73.63,75.15,73.07,73.57,475680
2017-03-29,74.14,74.14,73.07,74.02,426200
2017-03-30,74.19,74.19,71.94,71.94,363980
2017-03-31,73.01,73.01,71.94,72.0,318710
2017-04-03,71.94,72.79,70.71,70.71,282490
2017-04-04,72.51,73.01,70.88,71.94,459220
2017-04-05,71.55,73.12,71.1,72.34,596140
2017-04-07,72.56,72.62,72.34,72.56,350370
2017-04-10,72.56,73.91,72.45,73.52,765530
2017-04-11,73.63,74.19,73.57,74.08,206460
2017-04-12,73.69,75.65,73.69,75.37,458390
2017-04-13,75.32,75.54,75.2,75.43,278260
2017-04-14,75.49,75.54,73.63,74.87,335130
2017-04-17,73.91,75.2,73.07,74.02,227200
2017-04-18,73.12,74.08,71.94,72.51,263970
2017-04-19,72.51,73.91,71.89,73.86,255600
2017-04-20,73.86,74.08,72.79,73.97,313760
2017-04-21,74.14,74.14,73.46,73.86,218910
2017-04-24,73.86,74.08,72.73,72.73,229020
2017-04-25,72.73,72.73,71.66,71.94,212370
