time,open,high,low,close,volume
2017-08-17,7.72,7.72,6.53,7.72,58299310
2017-08-18,7.52,7.62,7.36,7.36,1092840
2017-08-21,7.08,7.28,7.02,7.1,798670
2017-08-22,6.89,7.12,6.89,7.12,2295930
2017-08-23,7.12,7.28,7.08,7.16,520790
2017-08-24,7.19,7.19,7.08,7.17,678690
2017-08-25,7.1,7.18,7.08,7.18,615370
2017-08-28,7.12,7.18,7.1,7.18,761670
2017-08-29,7.14,7.18,7.11,7.18,990000
2017-08-30,7.18,7.18,7.12,7.18,830100
2017-08-31,7.14,7.18,7.14,7.18,1196380
2017-09-01,7.14,7.18,7.14,7.18,978060
2017-09-05,7.13,7.2,7.13,7.2,1274130
2017-09-06,7.2,7.56,7.18,7.55,1269010
2017-09-07,7.56,7.78,7.56,7.63,900290
2017-09-08,7.62,7.62,7.55,7.56,339640
2017-09-11,7.52,7.54,7.3,7.32,655570
2017-09-12,7.32,7.42,7.2,7.39,330150
2017-09-13,7.39,7.44,7.34,7.42,312470
2017-09-14,7.42,7.44,7.38,7.41,268880
2017-09-15,7.41,7.44,7.39,7.4,352480
2017-09-18,7.4,7.42,7.37,7.38,323580
2017-09-19,7.38,7.38,7.3,7.31,820020
2017-09-20,7.31,7.38,7.29,7.3,789670
2017-09-21,7.3,7.31,7.27,7.3,535570
2017-09-22,7.3,7.3,7.22,7.26,1288830
2017-09-25,7.26,7.29,7.25,7.25,504360
2017-09-26,7.3,7.3,7.24,7.24,718370
2017-09-27,7.26,7.41,7.24,7.37,1473820
2017-09-28,7.38,7.48,7.36,7.37,1238590
2017-09-29,7.37,7.47,7.37,7.42,752340
2017-10-02,7.42,7.44,7.32,7.37,634350
2017-10-03,7.36,7.38,7.27,7.3,659660
2017-10-04,7.3,7.32,7.27,7.3,457470
2017-10-05,7.34,7.35,7.29,7.29,219990
2017-10-06,7.33,7.36,7.28,7.36,409110
2017-10-09,7.44,7.44,7.37,7.41,936770
2017-10-10,7.41,7.56,7.39,7.52,869010
2017-10-11,7.56,7.82,7.55,7.82,3495690
2017-10-12,7.83,8.07,7.78,7.93,2362040
2017-10-13,7.9,8.12,7.9,7.96,1322500
2017-10-16,7.96,8.15,7.96,8.05,2217910
2017-10-17,8.05,8.21,8.05,8.15,1689100
2017-10-18,8.31,8.33,8.17,8.17,2362080
2017-10-19,8.15,8.25,8.07,8.13,1057180
2017-10-20,8.13,8.23,8.13,8.17,1480860
2017-10-23,8.17,8.29,8.05,8.07,1498490
2017-10-24,8.1,8.1,8.01,8.05,826280
2017-10-25,8.05,8.14,7.98,8.11,1275530
2017-10-26,8.11,8.17,8.02,8.05,757830
2017-10-27,8.04,8.11,8.02,8.08,738890
2017-10-30,8.08,8.27,8.08,8.13,1960480
2017-10-31,8.13,8.17,8.04,8.04,1027260
2017-11-01,8.04,8.09,7.95,7.98,994020
2017-11-02,7.96,8.04,7.44,7.46,2450520
2017-11-03,7.5,7.96,7.48,7.96,1257280
2017-11-06,7.96,7.96,7.82,7.9,490420
2017-11-07,7.88,7.88,7.8,7.82,579800
2017-11-08,7.82,7.98,7.75,7.96,826220
2017-11-09,7.98,7.98,7.82,7.86,537590
2017-11-10,7.85,7.86,7.82,7.83,503430
2017-11-13,7.84,7.84,7.64,7.66,734400
2017-11-14,7.66,7.8,7.66,7.73,777620
2017-11-15,7.77,7.81,7.68,7.78,775820
2017-11-16,7.78,8.0,7.73,7.82,916660
2017-11-17,7.88,7.92,7.81,7.82,561660
2017-11-20,7.84,7.84,7.73,7.74,629260
2017-11-21,7.72,7.79,7.67,7.71,1003180
2017-11-22,7.72,7.96,7.7,7.84,1542070
2017-11-23,7.96,8.09,7.74,7.92,1865520
2017-11-24,7.96,8.04,7.86,7.92,939760
2017-11-27,7.92,7.92,7.87,7.88,865430
2017-11-28,7.88,7.98,7.86,7.88,1532570
2017-11-29,7.88,8.01,7.88,7.94,1922690
2017-11-30,8.0,8.16,7.98,8.14,4526350
2017-12-01,8.23,8.23,8.13,8.14,3263090
2017-12-04,8.15,8.37,8.15,8.21,2860030
2017-12-05,8.25,8.3,8.05,8.12,3035500
2017-12-06,8.13,8.13,7.94,8.02,1964010
2017-12-07,8.02,8.04,7.84,7.84,1743680
2017-12-08,7.84,7.92,7.8,7.82,1251580
2017-12-11,7.72,7.81,7.63,7.63,1320400
