time,open,high,low,close,volume
2013-05-30,2.41,2.42,2.39,2.41,319200
2013-05-31,2.42,2.44,2.39,2.41,684300
2013-06-03,2.42,2.48,2.41,2.45,1074900
2013-06-04,2.45,2.47,2.39,2.41,521500
2013-06-05,2.42,2.42,2.39,2.42,299300
2013-06-06,2.42,2.42,2.41,2.42,489200
2013-06-07,2.42,2.45,2.41,2.45,597700
2013-06-10,2.45,2.45,2.42,2.44,402400
2013-06-11,2.45,2.45,2.42,2.44,399200
2013-06-12,2.42,2.44,2.41,2.42,283000
2013-06-13,2.42,2.42,2.38,2.41,281500
2013-06-14,2.41,2.41,2.37,2.39,354200
2013-06-17,2.39,2.39,2.34,2.37,433100
2013-06-18,2.35,2.37,2.31,2.37,422300
2013-06-19,2.35,2.38,2.34,2.38,286800
2013-06-20,2.38,2.38,2.34,2.37,505600
2013-06-21,2.35,2.37,2.34,2.37,7000
2013-06-24,2.37,2.38,2.34,2.38,578000
2013-06-25,2.35,2.37,2.34,2.35,1440600
2013-06-26,2.35,2.37,2.34,2.35,336600
2013-06-27,2.34,2.35,2.32,2.35,778000
2013-06-28,2.34,2.37,2.34,2.35,675700
2013-07-01,2.34,2.35,2.34,2.35,341800
2013-07-02,2.34,2.37,2.34,2.37,339900
2013-07-03,2.35,2.37,2.34,2.37,374100
2013-07-04,2.34,2.37,2.34,2.37,298600
2013-07-05,2.35,2.35,2.34,2.34,309500
2013-07-08,2.34,2.34,2.31,2.31,62200
2013-07-09,2.32,2.34,2.31,2.32,341200
2013-07-10,2.32,2.34,2.31,2.34,132200
2013-07-11,2.32,2.34,2.31,2.32,80300
2013-07-12,2.32,2.34,2.31,2.34,231400
2013-07-15,2.34,2.34,2.32,2.34,124200
2013-07-16,2.32,2.34,2.32,2.32,68100
2013-07-17,2.34,2.37,2.32,2.35,450900
2013-07-18,2.34,2.37,2.34,2.35,232100
2013-07-19,2.34,2.35,2.34,2.34,228500
2013-07-22,2.35,2.35,2.34,2.34,423700
2013-07-23,2.35,2.35,2.34,2.35,150900
2013-07-24,2.34,2.34,2.34,2.34,413100
2013-07-25,2.32,2.34,2.31,2.31,231700
2013-07-26,2.32,2.32,2.29,2.32,403600
2013-07-29,2.31,2.34,2.31,2.32,152682
2013-07-30,2.32,2.34,2.31,2.34,195753
2013-07-31,2.31,2.34,2.31,2.31,468415
2013-08-01,2.31,2.32,2.29,2.29,654000
2013-08-02,2.31,2.32,2.29,2.29,130684
2013-08-05,2.29,2.31,2.07,2.29,366503
2013-08-06,2.29,2.31,2.28,2.29,293456
2013-08-07,2.29,2.31,2.28,2.31,90113
2013-08-08,2.29,2.29,2.28,2.28,386989
2013-08-09,2.22,2.29,2.22,2.26,410733
2013-08-12,2.26,2.31,2.26,2.26,202059
2013-08-13,2.25,2.28,2.25,2.26,161424
2013-08-14,2.26,2.29,2.26,2.29,43973
2013-08-15,2.28,2.29,2.26,2.28,75688
2013-08-16,2.28,2.28,2.26,2.26,191415
2013-08-19,2.28,2.29,2.26,2.28,137777
2013-08-20,2.29,2.29,2.28,2.28,91341
2013-08-21,2.29,2.29,2.28,2.28,136103
2013-08-22,2.28,2.29,2.26,2.26,198081
2013-08-23,2.28,2.28,2.04,2.26,258299
2013-08-26,2.25,2.28,2.25,2.26,59674
2013-08-27,2.26,2.26,2.26,2.26,85470
2013-08-28,2.25,2.26,2.2,2.22,314841
2013-08-29,2.23,2.23,2.2,2.22,382496
2013-08-30,2.22,2.25,2.22,2.25,204806
2013-09-03,2.2,2.23,2.2,2.23,55063
2013-09-04,2.23,2.25,2.22,2.22,79730
2013-09-05,2.23,2.25,2.23,2.23,126600
2013-09-06,2.25,2.25,2.23,2.25,58281
2013-09-09,2.26,2.26,2.23,2.23,176700
2013-09-10,2.23,2.26,2.19,2.25,29000
2013-09-11,2.25,2.26,2.25,2.26,74798
2013-09-12,2.26,2.26,2.23,2.23,209898
2013-09-13,2.25,2.26,2.25,2.25,55773
2013-09-16,2.25,2.26,2.25,2.25,78466
2013-09-17,2.25,2.26,2.25,2.25,161070
2013-09-18,2.25,2.26,2.25,2.25,200256
2013-09-19,2.25,2.26,2.25,2.25,330829
2013-09-20,2.25,2.26,2.25,2.26,184365
2013-09-23,2.25,2.26,2.25,2.25,766055
2013-09-24,2.25,2.26,2.25,2.26,340846
2013-09-25,2.26,2.28,2.26,2.26,160131
2013-09-26,2.26,2.28,2.26,2.26,82632
2013-09-27,2.26,2.28,2.25,2.26,245255
2013-09-30,2.26,2.28,2.26,2.26,94178
2013-10-01,2.28,2.31,2.26,2.29,163710
2013-10-02,2.29,2.29,2.28,2.28,112846
2013-10-03,2.28,2.29,2.26,2.29,78753
2013-10-04,2.26,2.28,2.26,2.28,108368
2013-10-07,2.28,2.29,2.26,2.29,108737
2013-10-08,2.26,2.29,2.26,2.28,199278
2013-10-09,2.28,2.31,2.28,2.31,166482
2013-10-10,2.29,2.31,2.28,2.29,170308
2013-10-11,2.29,2.29,2.28,2.29,74508
2013-10-14,2.31,2.31,2.29,2.29,301744
2013-10-15,2.28,2.31,2.28,2.31,198445
2013-10-16,2.31,2.32,2.28,2.31,161429
2013-10-17,2.29,2.32,2.29,2.29,127347
2013-10-18,2.28,2.29,2.28,2.29,47854
2013-10-21,2.29,2.29,2.28,2.29,155857
2013-10-22,2.29,2.29,2.26,2.28,180108
2013-10-23,2.28,2.28,2.26,2.28,71794
2013-10-24,2.28,2.29,2.26,2.28,229426
2013-10-25,2.28,2.29,2.26,2.28,97476
2013-10-28,2.28,2.28,2.26,2.26,136404
