time,open,high,low,close,volume
2018-02-21,26.61,26.61,22.47,22.47,81200
2018-02-22,23.37,23.37,22.47,22.47,28900
2018-02-23,22.65,22.65,20.14,20.68,37800
2018-02-26,19.78,21.84,17.98,20.59,21100
2018-02-27,22.29,22.29,17.98,21.58,34700
2018-02-28,18.34,19.78,18.34,19.78,2300
2018-03-01,19.78,19.96,18.88,19.96,21100
2018-03-02,19.69,19.69,18.43,19.42,24900
2018-03-05,19.06,19.33,18.88,19.15,35500
2018-03-06,20.23,20.23,18.43,19.51,4200
2018-03-07,18.43,18.43,17.98,18.16,3000
2018-03-08,18.88,18.88,18.88,18.88,2100
2018-03-09,18.88,18.88,16.18,18.79,36700
2018-03-12,17.98,18.79,17.53,18.43,7000
2018-03-13,17.98,17.98,17.26,17.8,15100
2018-03-14,17.17,17.71,16.9,16.9,11700
2018-03-15,16.45,17.53,16.18,17.35,29700
2018-03-16,18.79,19.33,17.53,17.98,33500
2018-03-19,18.16,19.06,18.16,19.06,14000
2018-03-20,17.98,18.79,17.17,17.98,101100
2018-03-21,18.43,18.43,17.17,17.8,63600
2018-03-22,17.98,20.14,17.8,20.14,135400
2018-03-23,20.05,21.4,19.78,21.13,97700
2018-03-26,21.84,21.93,20.41,21.58,198500
2018-03-27,21.58,24.09,18.7,21.58,362200
2018-03-28,21.22,23.55,20.23,21.49,433200
2018-03-29,21.4,22.74,21.13,21.4,272700
2018-03-30,21.67,22.47,21.67,22.38,46000
2018-04-02,22.47,23.1,22.47,23.1,47800
2018-04-03,23.28,24.27,22.92,23.64,49300
2018-04-04,23.64,23.64,23.01,23.37,60400
2018-04-05,23.37,23.64,23.01,23.55,206800
2018-04-06,23.37,23.55,22.92,23.19,70500
2018-04-09,22.83,24.09,22.74,23.82,71600
2018-04-10,22.74,23.55,22.74,23.37,63800
2018-04-11,23.37,23.37,22.47,23.19,77400
2018-04-12,23.1,23.19,22.47,23.1,100200
2018-04-13,23.19,23.37,22.65,23.19,36600
2018-04-16,23.01,23.1,23.01,23.1,55000
2018-04-17,23.1,23.1,22.47,23.1,58000
2018-04-18,23.01,23.1,23.01,23.1,10500
2018-04-19,22.47,23.01,22.29,23.01,30000
2018-04-20,22.92,23.1,22.92,23.1,20200
2018-04-23,22.92,23.01,22.47,22.47,31600
2018-04-24,22.92,22.92,22.47,22.47,21100
2018-04-26,22.47,22.47,22.38,22.38,28200
2018-04-27,22.47,22.47,22.47,22.47,33200
2018-05-02,22.47,23.01,22.47,23.01,13900
2018-05-03,23.1,23.1,22.83,22.92,1300
2018-05-04,23.1,23.1,23.1,23.1,4700
2018-05-07,21.58,21.58,19.87,20.68,11900
2018-05-08,22.38,22.47,18.88,22.38,101600
2018-05-09,21.93,21.93,19.96,19.96,300
2018-05-10,20.14,22.38,20.14,20.68,1400
2018-05-11,21.49,21.49,21.49,21.49,100
2018-05-14,21.49,21.49,21.49,21.49,0
2018-05-15,21.13,21.13,21.13,21.13,100
2018-05-16,21.49,21.49,19.78,21.4,10500
2018-05-17,22.47,22.47,22.47,22.47,100
2018-05-18,20.05,20.05,19.96,19.96,1100
2018-05-21,22.92,22.92,19.78,19.78,7100
2018-05-22,21.13,21.13,19.78,19.78,600
2018-05-23,22.92,22.92,22.92,22.92,100
2018-05-24,22.92,22.92,22.92,22.92,0
2018-05-25,22.92,22.92,22.92,22.92,0
2018-05-28,19.6,21.13,19.6,21.13,4300
2018-05-29,19.78,21.58,19.78,21.58,8900
2018-05-30,21.13,21.13,21.13,21.13,0
2018-05-31,21.13,21.13,21.13,21.13,0
2018-06-01,21.13,21.13,19.78,20.23,800
2018-06-04,21.31,21.31,19.51,19.51,3100
2018-06-05,20.95,20.95,20.95,20.95,100
