time,open,high,low,close,volume
2013-06-06,4.95,5.06,4.95,5.06,189030
2013-06-07,5.08,5.09,4.98,5.04,145200
2013-06-10,5.09,5.09,5.04,5.05,256220
2013-06-11,5.05,5.05,4.98,5.01,235030
2013-06-12,4.98,5.01,4.95,4.98,194000
2013-06-13,4.95,4.98,4.93,4.95,413530
2013-06-14,4.97,4.97,4.9,4.9,257590
2013-06-17,4.93,4.93,4.78,4.78,245350
2013-06-18,4.78,4.78,4.72,4.75,179510
2013-06-19,4.76,4.81,4.74,4.76,105860
2013-06-20,4.78,4.78,4.73,4.74,144390
2013-06-21,4.72,4.73,4.65,4.73,249940
2013-06-24,4.73,4.73,4.67,4.71,157140
2013-06-25,4.67,4.7,4.54,4.59,668790
2013-06-26,4.55,4.61,4.55,4.6,171080
2013-06-27,4.63,4.64,4.59,4.61,171250
2013-06-28,4.71,4.71,4.63,4.63,113820
2013-07-01,4.66,4.66,4.61,4.65,42960
2013-07-02,4.66,4.74,4.65,4.7,82370
2013-07-03,4.72,4.72,4.67,4.72,144550
2013-07-04,4.73,4.87,4.72,4.81,526820
2013-07-05,4.81,4.84,4.77,4.83,193730
2013-07-08,4.84,4.84,4.76,4.76,112140
2013-07-09,4.76,4.76,4.67,4.72,88920
2013-07-10,4.72,4.73,4.68,4.71,42560
2013-07-11,4.72,4.72,4.67,4.7,108660
2013-07-12,4.68,4.76,4.68,4.76,102160
2013-07-15,4.8,4.8,4.73,4.77,75830
2013-07-16,4.8,4.86,4.77,4.83,107880
2013-07-17,4.87,4.87,4.84,4.84,145010
2013-07-18,4.84,4.87,4.8,4.8,65160
2013-07-19,4.84,4.86,4.8,4.86,113860
2013-07-22,4.91,4.91,4.82,4.86,66820
2013-07-23,4.86,4.86,4.82,4.83,95720
2013-07-24,4.78,4.81,4.76,4.76,239630
2013-07-25,4.81,4.84,4.76,4.81,107830
2013-07-26,4.83,4.83,4.74,4.75,58250
2013-07-29,4.75,4.75,4.65,4.67,179400
2013-07-30,4.66,4.76,4.65,4.76,90410
2013-07-31,4.8,4.8,4.73,4.76,83540
2013-08-01,4.76,4.77,4.75,4.75,77340
2013-08-02,4.8,4.81,4.77,4.78,77930
2013-08-05,4.8,5.03,4.8,4.93,564080
2013-08-06,4.93,5.02,4.93,5.01,475480
2013-08-07,5.04,5.17,5.02,5.13,826400
2013-08-08,5.13,5.13,5.01,5.01,363680
2013-08-09,5.01,5.05,4.99,5.05,204960
2013-08-12,5.07,5.07,5.01,5.03,199710
2013-08-13,5.03,5.08,5.01,5.04,426440
2013-08-14,5.04,5.06,5.02,5.06,198010
2013-08-15,5.19,5.29,5.14,5.24,805360
2013-08-16,5.23,5.27,5.18,5.27,320220
2013-08-19,5.27,5.45,5.26,5.39,538180
2013-08-20,5.38,5.39,5.31,5.36,448010
2013-08-21,5.36,5.36,5.15,5.31,472880
2013-08-22,5.31,5.31,5.16,5.2,373950
2013-08-23,5.21,5.22,5.1,5.12,440450
2013-08-26,5.11,5.13,5.04,5.11,199040
2013-08-27,5.14,5.14,5.06,5.08,122680
2013-08-28,5.02,5.04,4.83,4.9,433180
2013-08-29,4.88,4.98,4.88,4.88,139290
2013-08-30,4.92,4.95,4.87,4.94,229370
2013-09-03,5.0,5.0,4.9,4.9,58660
2013-09-04,4.94,4.96,4.88,4.91,255430
2013-09-05,4.95,5.02,4.9,5.0,241450
2013-09-06,5.03,5.14,4.99,5.07,265600
2013-09-09,5.07,5.07,4.91,4.95,136590
2013-09-10,4.95,5.03,4.95,4.98,61870
2013-09-11,5.03,5.07,4.96,4.96,232820
2013-09-12,4.94,4.99,4.92,4.92,192520
2013-09-13,4.9,4.96,4.9,4.9,109090
2013-09-16,4.91,4.92,4.88,4.89,171720
2013-09-17,4.91,4.96,4.88,4.91,158300
2013-09-18,4.96,5.02,4.92,4.96,206220
2013-09-19,4.99,5.03,4.97,4.97,137210
2013-09-20,4.97,5.0,4.97,4.98,44400
2013-09-23,4.98,5.1,4.98,5.08,322410
2013-09-24,5.1,5.22,5.1,5.18,335390
2013-09-25,5.19,5.2,5.11,5.13,252640
2013-09-26,5.13,5.18,5.1,5.18,179940
2013-09-27,5.19,5.19,5.11,5.15,134960
2013-09-30,5.2,5.2,5.14,5.16,191710
2013-10-01,5.14,5.19,5.13,5.13,309650
2013-10-02,5.13,5.18,5.13,5.16,125270
2013-10-03,5.16,5.16,5.12,5.13,180150
2013-10-04,5.15,5.24,5.13,5.22,435780
2013-10-07,5.21,5.3,5.21,5.28,244840
2013-10-08,5.28,5.28,5.22,5.26,150880
2013-10-09,5.26,5.28,5.22,5.23,203180
