time,open,high,low,close,volume
2013-06-06,26.33,26.99,26.12,26.99,1128010
2013-06-07,26.99,28.51,26.99,28.08,784140
2013-06-10,28.08,28.51,27.64,27.64,727410
2013-06-11,27.42,27.64,26.99,27.21,793070
2013-06-12,26.99,27.64,26.99,27.21,437990
2013-06-13,27.21,27.42,26.77,27.21,691010
2013-06-14,27.64,27.64,26.99,26.99,275840
2013-06-17,27.21,27.21,26.12,26.12,865660
2013-06-18,26.12,26.33,25.68,25.9,673760
2013-06-19,26.33,26.55,26.12,26.33,177920
2013-06-20,26.33,26.33,25.68,25.9,458210
2013-06-21,25.68,26.12,25.46,25.9,263500
2013-06-24,26.12,26.12,24.81,25.25,576700
2013-06-25,25.03,25.46,23.72,24.16,960570
2013-06-26,24.59,24.81,23.94,24.81,461070
2013-06-27,25.03,25.9,24.81,25.68,771380
2013-06-28,25.9,25.9,25.25,25.25,365950
2013-07-01,25.03,25.9,24.81,25.9,359580
2013-07-02,25.68,26.55,25.68,26.33,419070
2013-07-03,26.12,26.55,25.9,26.12,352100
2013-07-04,26.33,26.33,25.9,26.12,149020
2013-07-05,26.12,26.33,25.68,25.68,288200
2013-07-08,25.68,25.68,25.25,25.25,222620
2013-07-09,25.46,25.68,25.25,25.68,106210
2013-07-10,25.9,26.33,25.9,26.12,324380
2013-07-11,26.12,26.33,25.9,26.12,221910
2013-07-12,26.12,27.42,26.12,27.42,1008390
2013-07-15,27.64,28.29,27.42,27.64,505080
2013-07-16,27.86,28.08,27.64,28.08,587900
2013-07-17,27.86,28.29,27.64,28.08,386590
2013-07-18,27.86,28.29,27.64,28.08,476080
2013-07-19,28.29,28.95,28.08,28.51,1030480
2013-07-22,28.51,28.73,28.08,28.51,781450
2013-07-23,28.51,28.73,28.08,28.29,490760
2013-07-24,28.29,28.51,27.42,27.42,1059260
2013-07-25,27.42,27.86,27.42,27.42,377840
2013-07-26,27.86,28.08,27.21,27.86,391530
2013-07-29,28.08,28.08,27.21,27.42,233160
2013-07-30,27.42,27.86,27.42,27.64,282610
2013-07-31,27.64,28.73,27.64,28.51,549510
2013-08-01,28.51,28.73,28.29,28.51,359930
2013-08-02,28.73,28.73,28.29,28.51,240080
2013-08-05,28.51,28.73,28.08,28.29,243020
2013-08-06,28.08,28.51,28.08,28.51,95610
2013-08-07,28.51,29.6,28.51,29.38,756860
2013-08-08,29.16,29.6,28.95,29.38,207570
2013-08-09,29.38,30.03,29.38,29.82,295920
2013-08-12,29.82,30.03,29.38,30.03,479210
2013-08-13,30.26,30.7,30.03,30.03,682210
2013-08-14,30.03,31.14,30.03,30.92,1341200
2013-08-15,31.14,31.58,31.14,31.14,760810
2013-08-16,31.14,31.36,30.7,30.92,421320
2013-08-19,30.92,31.8,30.7,31.58,820800
2013-08-20,31.36,31.58,30.7,30.92,735780
2013-08-21,30.92,30.92,30.03,30.48,739380
2013-08-22,30.03,30.7,29.59,30.03,619800
2013-08-23,30.03,30.26,29.37,29.81,602840
2013-08-26,29.59,30.48,29.15,30.26,578230
2013-08-27,30.26,30.26,29.59,29.59,149550
2013-08-28,29.37,29.59,28.49,28.71,818890
2013-08-29,28.71,29.15,28.71,28.71,544370
2013-08-30,28.71,28.93,28.05,28.27,1149960
2013-09-03,28.71,28.93,28.49,28.71,390450
2013-09-04,28.71,29.15,28.49,28.71,410500
2013-09-05,28.71,28.93,28.49,28.93,568140
2013-09-06,28.93,29.15,28.71,29.15,395540
2013-09-09,28.93,28.93,28.27,28.49,821050
2013-09-10,28.49,28.93,28.49,28.71,430110
2013-09-11,28.93,29.15,28.71,28.93,401550
2013-09-12,28.71,29.15,28.71,28.93,192060
2013-09-13,28.93,29.37,28.93,28.93,243370
2013-09-16,28.93,29.15,28.71,28.71,400280
2013-09-17,28.71,29.37,28.71,28.93,555300
2013-09-18,29.15,29.37,28.71,28.93,553350
2013-09-19,29.37,29.37,28.71,28.93,889570
2013-09-20,28.93,28.93,28.71,28.71,480930
2013-09-23,28.93,28.93,28.49,28.93,520280
2013-09-24,28.93,29.59,28.93,29.37,661620
2013-09-25,29.37,29.81,29.15,29.59,686920
2013-09-26,29.59,29.59,28.71,29.15,2172310
2013-09-27,29.15,29.81,29.15,29.59,550330
2013-09-30,29.81,29.81,29.37,29.59,398410
2013-10-01,29.37,29.81,29.15,29.37,1273670
2013-10-02,29.59,29.59,28.49,28.93,1436740
2013-10-03,29.15,29.37,28.93,28.93,518610
2013-10-04,29.15,30.26,28.71,30.26,2330000
2013-10-07,30.26,30.48,30.03,30.03,673410
