time,open,high,low,close,volume
2013-06-06,1.51,1.52,1.5,1.52,339900
2013-06-07,1.52,1.52,1.51,1.51,313830
2013-06-10,1.51,1.53,1.5,1.51,584670
2013-06-11,1.5,1.51,1.49,1.49,778670
2013-06-12,1.48,1.49,1.45,1.45,1124980
2013-06-13,1.45,1.48,1.45,1.48,866200
2013-06-14,1.48,1.5,1.46,1.46,708000
2013-06-17,1.42,1.44,1.41,1.42,1372640
2013-06-18,1.41,1.42,1.4,1.42,904440
2013-06-19,1.41,1.42,1.41,1.41,937060
2013-06-20,1.4,1.41,1.39,1.39,933550
2013-06-21,1.37,1.37,1.34,1.34,3356060
2013-06-24,1.35,1.38,1.34,1.34,690350
2013-06-25,1.34,1.34,1.26,1.29,676880
2013-06-26,1.28,1.29,1.27,1.29,1136460
2013-06-27,1.3,1.35,1.28,1.35,478650
2013-06-28,1.36,1.37,1.33,1.34,483230
2013-07-01,1.33,1.33,1.3,1.31,216250
2013-07-02,1.31,1.35,1.31,1.35,191020
2013-07-03,1.35,1.35,1.34,1.34,359440
2013-07-04,1.34,1.35,1.31,1.31,368000
2013-07-05,1.33,1.35,1.32,1.33,581570
2013-07-08,1.33,1.33,1.31,1.31,601980
2013-07-09,1.3,1.32,1.3,1.31,102510
2013-07-10,1.31,1.32,1.31,1.31,220090
2013-07-11,1.31,1.31,1.3,1.3,318480
2013-07-12,1.3,1.37,1.3,1.37,544110
2013-07-15,1.41,1.42,1.39,1.41,768550
2013-07-16,1.41,1.42,1.4,1.4,443320
2013-07-17,1.4,1.4,1.39,1.4,240380
2013-07-18,1.4,1.44,1.39,1.43,871380
2013-07-19,1.43,1.45,1.43,1.45,596250
2013-07-22,1.47,1.48,1.44,1.46,660720
2013-07-23,1.46,1.5,1.46,1.49,809760
2013-07-24,1.49,1.5,1.45,1.46,954480
2013-07-25,1.46,1.47,1.44,1.44,542740
2013-07-26,1.43,1.44,1.42,1.43,530040
2013-07-29,1.43,1.43,1.41,1.41,351070
2013-07-30,1.4,1.45,1.4,1.45,220610
2013-07-31,1.45,1.45,1.42,1.44,246510
2013-08-01,1.42,1.44,1.42,1.44,269390
2013-08-02,1.45,1.45,1.44,1.45,240980
2013-08-05,1.44,1.46,1.44,1.45,123730
2013-08-06,1.47,1.47,1.44,1.45,320980
2013-08-07,1.47,1.52,1.46,1.5,649140
2013-08-08,1.51,1.52,1.49,1.49,382810
2013-08-09,1.5,1.5,1.48,1.49,373340
2013-08-12,1.49,1.5,1.48,1.49,179720
2013-08-13,1.49,1.5,1.48,1.49,187090
2013-08-14,1.48,1.5,1.48,1.5,192280
2013-08-15,1.5,1.54,1.5,1.52,704010
2013-08-16,1.51,1.56,1.51,1.54,704760
2013-08-19,1.54,1.57,1.54,1.54,725870
2013-08-20,1.54,1.57,1.53,1.55,617830
2013-08-21,1.55,1.57,1.54,1.57,554460
2013-08-22,1.57,1.57,1.52,1.53,725230
2013-08-23,1.53,1.54,1.5,1.51,919390
2013-08-26,1.51,1.52,1.5,1.52,359940
2013-08-27,1.52,1.53,1.51,1.52,185840
2013-08-28,1.5,1.5,1.45,1.46,685950
2013-08-29,1.46,1.47,1.43,1.44,626420
2013-08-30,1.44,1.48,1.44,1.48,258620
2013-09-03,1.51,1.51,1.49,1.5,214970
2013-09-04,1.5,1.5,1.46,1.46,287430
2013-09-05,1.45,1.49,1.45,1.49,152280
2013-09-06,1.48,1.54,1.48,1.54,361760
2013-09-09,1.54,1.54,1.5,1.52,323910
2013-09-10,1.52,1.56,1.52,1.55,518840
2013-09-11,1.57,1.6,1.56,1.6,622940
2013-09-12,1.6,1.64,1.6,1.62,411160
2013-09-13,1.62,1.62,1.59,1.6,319140
2013-09-16,1.61,1.62,1.59,1.62,314880
2013-09-17,1.62,1.62,1.61,1.62,350430
2013-09-18,1.62,1.62,1.6,1.6,383920
2013-09-19,1.6,1.62,1.6,1.61,213200
2013-09-20,1.61,1.62,1.6,1.62,645510
2013-09-23,1.62,1.72,1.6,1.72,914880
2013-09-24,1.72,1.72,1.69,1.69,414120
2013-09-25,1.68,1.71,1.67,1.67,357800
2013-09-26,1.67,1.71,1.65,1.71,1133560
2013-09-27,1.72,1.73,1.7,1.72,758940
2013-09-30,1.72,1.74,1.72,1.72,390270
2013-10-01,1.72,1.73,1.7,1.7,1341200
2013-10-02,1.7,1.71,1.7,1.71,395190
2013-10-03,1.7,1.71,1.69,1.69,451290
2013-10-04,1.69,1.74,1.68,1.73,643070
2013-10-07,1.73,1.79,1.72,1.78,912680
2013-10-08,1.78,1.8,1.77,1.79,544720
2013-10-09,1.77,1.79,1.77,1.77,665010
2013-10-10,1.77,1.78,1.74,1.75,675400
2013-10-11,1.76,1.77,1.75,1.76,655820
2013-10-14,1.76,1.77,1.76,1.77,232430
2013-10-15,1.77,1.79,1.77,1.78,342480
2013-10-16,1.78,1.78,1.77,1.77,436110
2013-10-17,1.77,1.79,1.77,1.77,238390
2013-10-18,1.77,1.77,1.76,1.77,303480
2013-10-21,1.77,1.78,1.77,1.77,360960
2013-10-22,1.77,1.79,1.77,1.77,504730
2013-10-23,1.79,1.8,1.78,1.8,706360
2013-10-24,1.81,1.82,1.8,1.8,689960
2013-10-25,1.81,1.81,1.79,1.8,271160
2013-10-28,1.8,1.8,1.79,1.79,393840
2013-10-29,1.78,1.79,1.76,1.79,363990
2013-10-30,1.79,1.8,1.79,1.8,250100
2013-10-31,1.79,1.84,1.79,1.82,565000
2013-11-01,1.84,1.84,1.82,1.82,216530
2013-11-04,1.82,1.83,1.81,1.83,180930
2013-11-05,1.83,1.84,1.81,1.83,186110
2013-11-06,1.83,1.85,1.83,1.85,302020
