time,open,high,low,close,volume
2013-06-06,2.55,2.58,2.42,2.51,117340
2013-06-07,2.53,2.53,2.46,2.49,99080
2013-06-10,2.49,2.64,2.39,2.44,189620
2013-06-11,2.44,2.51,2.28,2.37,528980
2013-06-12,2.35,2.42,2.33,2.37,46780
2013-06-13,2.39,2.42,2.3,2.3,70600
2013-06-14,2.33,2.35,2.21,2.3,144430
2013-06-17,2.24,2.3,2.17,2.19,135210
2013-06-18,2.17,2.19,2.06,2.15,191830
2013-06-19,2.19,2.19,2.08,2.19,70770
2013-06-20,2.17,2.19,2.06,2.19,92830
2013-06-21,2.1,2.17,2.1,2.15,32720
2013-06-24,2.15,2.15,2.03,2.1,103420
2013-06-25,2.1,2.1,1.97,2.03,238290
2013-06-26,2.03,2.12,1.99,2.06,130670
2013-06-27,2.1,2.1,1.92,2.06,182170
2013-06-28,2.1,2.19,2.1,2.19,321210
2013-07-01,2.19,2.21,2.15,2.17,69650
2013-07-02,2.15,2.24,2.15,2.15,152150
2013-07-03,2.15,2.17,2.08,2.12,69250
2013-07-04,2.17,2.17,2.12,2.12,49800
2013-07-05,2.17,2.17,2.12,2.17,47840
2013-07-08,2.17,2.21,2.12,2.12,45070
2013-07-09,2.15,2.15,2.1,2.12,24310
2013-07-10,2.12,2.17,2.06,2.08,52870
2013-07-11,2.12,2.15,2.08,2.12,38210
2013-07-12,2.15,2.17,2.12,2.17,43710
2013-07-15,2.17,2.21,2.15,2.17,71570
2013-07-16,2.15,2.17,2.06,2.12,74630
2013-07-17,2.15,2.19,2.12,2.15,79910
2013-07-18,2.15,2.19,2.15,2.17,160110
2013-07-19,2.21,2.21,2.19,2.19,193800
2013-07-22,2.19,2.21,2.17,2.17,93730
2013-07-23,2.1,2.12,2.03,2.03,155660
2013-07-24,2.03,2.03,1.9,1.92,243990
2013-07-25,1.94,2.03,1.92,1.99,209960
2013-07-26,2.03,2.12,2.01,2.08,129790
2013-07-29,2.08,2.15,2.08,2.08,114480
2013-07-30,2.01,2.1,2.01,2.1,54240
2013-07-31,2.12,2.12,2.08,2.08,52420
2013-08-01,2.03,2.12,2.01,2.12,22060
2013-08-02,2.12,2.17,2.1,2.15,50390
2013-08-05,2.15,2.15,2.03,2.15,67810
2013-08-06,2.15,2.17,2.15,2.17,66790
2013-08-07,2.15,2.19,2.15,2.17,48610
2013-08-08,2.19,2.21,2.1,2.15,35000
2013-08-09,2.17,2.17,2.08,2.08,45020
2013-08-12,2.17,2.17,2.12,2.17,69590
2013-08-13,2.17,2.26,2.17,2.21,253960
2013-08-14,2.24,2.3,2.21,2.3,163970
2013-08-15,2.3,2.3,2.19,2.21,82940
2013-08-16,2.19,2.24,2.15,2.17,323770
2013-08-19,2.19,2.26,2.19,2.21,340400
2013-08-20,2.19,2.24,2.17,2.21,153030
2013-08-21,2.17,2.19,2.17,2.19,161270
2013-08-22,2.19,2.19,2.15,2.15,116050
2013-08-23,2.12,2.21,2.12,2.17,212640
2013-08-26,2.19,2.21,2.19,2.21,109300
2013-08-27,2.21,2.24,2.19,2.21,111890
2013-08-28,2.19,2.21,2.17,2.19,124350
2013-08-29,2.24,2.24,2.17,2.19,105930
2013-08-30,2.19,2.24,2.19,2.24,179990
2013-09-03,2.19,2.24,2.19,2.24,58060
2013-09-04,2.26,2.26,2.21,2.21,40010
2013-09-05,2.19,2.24,2.19,2.19,43720
2013-09-06,2.21,2.24,2.19,2.21,60500
2013-09-09,2.24,2.26,2.21,2.21,151490
2013-09-10,2.21,2.26,2.21,2.24,109670
2013-09-11,2.24,2.26,2.24,2.24,103150
2013-09-12,2.24,2.26,2.24,2.26,103710
2013-09-13,2.24,2.26,2.19,2.26,30460
2013-09-16,2.21,2.24,2.19,2.24,34310
2013-09-17,2.19,2.19,2.15,2.19,34370
2013-09-18,2.15,2.15,2.1,2.1,26890
2013-09-19,2.1,2.15,2.1,2.15,21160
2013-09-20,2.17,2.17,2.17,2.17,10000
2013-09-23,2.15,2.19,2.15,2.19,10020
2013-09-24,2.17,2.21,2.17,2.21,16550
2013-09-25,2.19,2.26,2.19,2.21,28050
2013-09-26,2.26,2.26,2.21,2.26,23000
