time,open,high,low,close,volume
2013-06-06,56.11,56.62,55.59,56.62,39410
2013-06-07,56.11,56.62,56.11,56.62,22850
2013-06-10,56.11,56.62,55.59,55.59,75720
2013-06-11,55.59,56.11,55.08,55.59,44770
2013-06-12,55.59,55.59,54.05,54.05,171590
2013-06-13,53.53,54.05,50.96,51.22,214000
2013-06-14,51.47,51.99,50.7,50.7,296560
2013-06-17,51.99,51.99,50.7,50.96,124100
2013-06-18,49.67,51.22,49.67,50.96,56240
2013-06-19,50.96,51.22,50.7,50.96,61370
2013-06-20,50.96,50.96,50.19,50.96,75750
2013-06-21,50.7,50.96,50.44,50.96,21960
2013-06-24,50.7,50.96,47.61,47.61,106750
2013-06-25,47.36,47.61,44.52,45.81,177860
2013-06-26,45.81,46.33,44.27,45.81,251410
2013-06-27,45.81,46.33,45.3,45.81,225510
2013-06-28,45.81,46.33,45.55,45.81,78470
2013-07-01,45.81,47.36,45.3,47.1,85260
2013-07-02,47.1,49.41,47.1,48.9,235740
2013-07-03,49.41,49.93,48.39,48.39,98460
2013-07-04,48.9,48.9,47.61,48.39,158460
2013-07-05,47.87,48.39,47.61,48.39,29130
2013-07-08,48.13,48.39,47.36,48.39,73870
2013-07-09,48.13,48.13,47.36,47.87,27620
2013-07-10,47.87,48.13,47.1,47.36,45440
2013-07-11,47.36,47.36,45.55,45.55,148810
2013-07-12,45.55,46.33,44.27,46.33,707460
2013-07-15,46.33,46.58,45.3,45.3,210330
2013-07-16,45.3,45.55,45.04,45.3,94150
2013-07-17,45.3,45.81,45.04,45.55,231900
2013-07-18,45.55,46.84,45.55,46.33,459530
2013-07-19,46.58,48.13,46.58,47.87,446060
2013-07-22,48.39,50.19,48.39,49.93,430140
2013-07-23,49.67,49.67,48.64,48.64,245280
2013-07-24,48.39,48.39,46.33,46.84,345180
2013-07-25,46.84,46.84,45.81,46.33,247570
2013-07-26,46.33,46.58,45.3,46.33,261070
2013-07-29,46.33,46.84,45.3,45.55,155990
2013-07-30,45.3,46.07,45.3,45.81,156250
2013-07-31,45.81,46.07,45.3,45.55,79700
2013-08-01,45.55,45.55,45.3,45.3,273930
2013-08-02,45.55,45.81,45.3,45.55,128920
2013-08-05,45.55,45.81,45.3,45.3,87000
2013-08-06,45.04,45.3,44.52,45.04,291510
2013-08-07,45.04,45.55,44.78,45.3,200230
2013-08-08,45.3,47.36,45.3,45.55,235810
2013-08-09,45.81,46.33,45.81,46.07,196710
2013-08-12,46.07,46.07,45.55,45.55,77960
2013-08-13,45.55,45.81,45.3,45.3,171310
2013-08-14,45.55,45.81,45.04,45.3,239150
2013-08-15,45.55,45.81,45.04,45.3,525350
2013-08-16,45.3,45.55,44.78,45.04,206380
2013-08-19,44.78,45.55,44.78,44.78,340060
2013-08-20,44.78,45.04,44.27,44.27,326950
2013-08-21,44.52,44.52,42.72,43.24,544640
2013-08-22,43.24,43.75,42.98,42.98,216920
2013-08-23,43.24,43.24,41.18,41.69,461420
2013-08-26,41.69,42.47,39.63,42.47,474310
2013-08-27,41.69,42.47,41.18,42.21,159520
2013-08-28,41.44,41.69,40.15,41.69,314750
2013-08-29,41.69,41.95,41.18,41.69,210300
2013-08-30,41.69,42.21,40.66,42.21,202340
2013-09-03,41.18,42.21,41.18,41.95,111670
2013-09-04,41.95,41.95,41.18,41.69,109600
2013-09-05,41.69,42.21,41.18,42.21,95440
2013-09-06,42.21,42.72,41.95,42.47,125080
2013-09-09,42.47,42.47,41.44,42.21,98490
2013-09-10,42.21,42.47,41.95,41.95,26170
2013-09-11,41.95,42.47,41.69,42.21,91930
2013-09-12,42.21,42.47,41.95,42.21,41390
2013-09-13,42.21,42.47,41.95,42.21,38960
2013-09-16,42.21,42.21,41.44,42.21,106510
2013-09-17,41.95,42.21,41.69,41.95,44630
2013-09-18,41.95,41.95,41.69,41.95,128100
2013-09-19,42.21,42.21,41.69,41.95,44100
2013-09-20,41.95,42.47,41.69,42.47,210010
2013-09-23,42.47,42.47,41.95,42.21,32770
2013-09-24,42.21,42.47,41.95,41.95,81270
2013-09-25,41.95,42.21,41.69,41.95,109910
2013-09-26,41.95,42.21,41.69,41.95,68550
2013-09-27,42.21,42.47,41.95,42.21,126800
2013-09-30,42.21,44.27,42.21,44.01,356610
2013-10-01,44.01,44.27,43.5,44.01,233660
2013-10-02,43.75,44.27,43.75,44.27,201460
2013-10-03,44.27,44.27,43.24,43.75,104000
2013-10-04,43.24,43.75,43.24,43.24,116620
2013-10-07,43.24,43.5,42.72,42.98,240180
2013-10-08,42.98,43.75,42.72,43.5,251670
2013-10-09,43.75,43.75,42.98,42.98,72800
2013-10-10,42.98,43.24,42.72,42.72,133530
