time,open,high,low,close,volume
2014-07-14,4.25,4.28,4.25,4.28,10660
2014-07-15,4.57,4.57,4.57,4.57,13480
2014-07-16,4.88,4.88,4.88,4.88,17290
2014-07-17,5.22,5.22,5.22,5.22,95120
2014-07-18,5.56,5.56,5.56,5.56,134460
2014-07-21,5.93,5.93,5.3,5.56,311030
2014-07-22,5.46,5.72,5.46,5.72,568890
2014-07-23,5.77,5.77,5.67,5.72,23330
2014-07-24,5.67,5.72,5.67,5.67,33590
2014-07-25,5.67,5.72,5.67,5.67,79630
2014-07-28,5.67,5.72,5.67,5.67,93810
2014-07-29,5.67,5.67,5.51,5.56,25300
2014-07-30,5.62,5.62,5.51,5.56,16160
2014-07-31,5.51,5.51,5.3,5.41,37400
2014-08-01,5.51,5.51,5.35,5.41,28290
2014-08-04,5.41,5.41,5.41,5.41,13350
2014-08-05,5.46,5.51,5.46,5.46,21340
2014-08-06,5.46,5.62,5.46,5.62,20800
2014-08-07,5.62,5.62,5.56,5.62,17250
2014-08-08,5.56,5.62,5.56,5.62,9190
2014-08-11,5.98,5.98,5.83,5.98,179250
2014-08-12,6.04,6.19,6.04,6.19,64140
2014-08-13,6.25,6.56,6.14,6.51,147010
2014-08-14,6.51,6.93,6.51,6.93,149800
2014-08-15,7.35,7.4,7.14,7.4,100130
2014-08-18,7.66,7.82,7.56,7.82,29910
2014-08-19,7.61,7.77,7.3,7.3,39150
2014-08-20,6.88,7.35,6.88,7.3,46550
2014-08-21,7.19,7.3,7.09,7.09,58570
2014-08-22,7.09,7.4,7.09,7.4,45860
2014-08-25,7.61,7.66,7.4,7.56,61190
2014-08-26,7.56,7.56,7.03,7.03,29880
2014-08-27,7.24,7.35,7.09,7.19,11450
2014-08-28,7.19,7.19,7.09,7.19,5070
2014-08-29,7.19,7.19,6.82,7.09,15750
2014-09-03,7.14,7.14,6.98,7.09,25120
2014-09-04,7.03,7.03,6.82,6.93,37750
2014-09-05,6.98,7.14,6.98,7.14,44760
2014-09-08,7.24,7.61,7.14,7.61,171700
2014-09-09,8.14,8.14,7.72,7.82,88810
2014-09-10,8.03,8.03,7.66,7.98,23640
2014-09-11,7.93,8.08,7.87,7.98,25860
2014-09-12,7.98,8.03,7.82,7.93,44670
2014-09-15,7.93,8.03,7.93,7.98,14500
2014-09-16,7.93,7.98,7.87,7.98,65900
2014-09-17,8.08,8.08,7.87,7.98,6430
2014-09-18,7.87,8.08,7.87,8.08,13030
2014-09-19,8.24,8.61,8.24,8.61,20120
2014-09-22,9.18,9.18,8.82,9.18,28590
2014-09-23,9.45,9.6,9.13,9.13,13620
2014-09-24,9.34,9.34,9.08,9.08,5790
2014-09-25,8.92,8.92,8.45,8.45,30100
2014-09-26,8.92,8.92,8.55,8.76,26080
2014-09-29,8.92,8.92,8.82,8.82,11420
2014-09-30,8.66,8.87,8.66,8.87,12510
2014-10-01,8.87,9.03,8.87,8.92,24590
2014-10-02,8.87,9.08,8.87,9.03,51070
2014-10-03,9.18,9.29,9.13,9.18,22400
2014-10-06,9.24,9.24,9.13,9.18,19250
2014-10-07,9.13,9.24,9.13,9.18,37960
2014-10-08,9.82,9.82,9.64,9.82,138900
2014-10-09,10.35,10.44,10.35,10.44,271340
2014-10-10,10.35,10.53,10.26,10.44,63600
2014-10-13,10.26,10.26,9.9,9.99,17150
2014-10-14,10.08,10.08,9.9,9.99,34880
2014-10-15,9.99,10.08,9.9,10.08,94190
2014-10-16,9.99,10.08,9.46,9.55,37680
2014-10-17,9.82,9.82,9.46,9.73,59410
2014-10-20,9.9,9.9,9.64,9.64,7760
2014-10-21,9.64,9.73,9.46,9.64,14260
2014-10-22,9.73,9.73,9.55,9.55,15150
2014-10-23,9.55,9.55,9.28,9.37,21100
2014-10-24,9.37,9.64,9.37,9.64,17040
2014-10-27,9.82,10.08,9.73,9.73,26890
2014-10-28,9.64,9.73,9.46,9.46,28140
2014-10-29,9.55,9.55,9.37,9.37,21320
2014-10-30,9.37,9.55,9.37,9.55,65350
2014-10-31,9.55,9.55,9.37,9.46,26930
2014-11-03,9.37,9.37,9.01,9.19,51330
