time,open,high,low,close,volume
2013-06-06,2.95,3.05,2.86,2.99,44370
2013-06-07,2.99,2.99,2.8,2.8,126190
2013-06-10,2.6,2.88,2.6,2.7,199340
2013-06-11,2.76,2.76,2.59,2.6,50490
2013-06-12,2.6,2.62,2.51,2.51,88910
2013-06-13,2.43,2.68,2.43,2.57,76310
2013-06-14,2.68,2.68,2.59,2.59,34170
2013-06-17,2.68,2.68,2.41,2.51,53940
2013-06-18,2.51,2.68,2.47,2.68,99630
2013-06-19,2.86,2.86,2.72,2.78,105000
2013-06-20,2.76,2.82,2.68,2.68,47200
2013-06-21,2.72,2.78,2.66,2.76,46690
2013-06-24,2.76,2.8,2.68,2.74,52980
2013-06-25,2.74,2.74,2.57,2.57,120020
2013-06-26,2.57,2.68,2.57,2.66,60860
2013-06-27,2.84,2.84,2.62,2.68,84620
2013-06-28,2.68,2.68,2.6,2.6,64920
2013-07-01,2.6,2.6,2.43,2.43,204750
2013-07-02,2.43,2.59,2.41,2.43,145510
2013-07-03,2.43,2.51,2.33,2.43,23690
2013-07-04,2.47,2.47,2.28,2.28,130110
2013-07-05,2.28,2.3,2.12,2.12,148850
2013-07-08,2.2,2.2,2.01,2.01,28070
2013-07-09,2.01,2.1,1.99,2.1,45210
2013-07-10,2.1,2.12,1.97,1.97,28480
2013-07-11,1.95,2.05,1.91,1.95,59150
2013-07-12,2.06,2.08,2.03,2.03,57680
2013-07-15,2.1,2.16,2.08,2.16,132850
2013-07-16,2.18,2.3,2.18,2.3,106250
2013-07-17,2.3,2.3,2.16,2.24,55230
2013-07-18,2.24,2.28,2.14,2.18,47820
2013-07-19,2.26,2.26,2.1,2.1,32420
2013-07-22,2.2,2.2,1.97,2.03,86700
2013-07-23,1.93,2.08,1.93,2.01,11510
2013-07-24,1.93,2.03,1.89,1.89,46150
2013-07-25,1.99,1.99,1.78,1.78,39650
2013-07-26,1.87,1.87,1.72,1.85,34890
2013-07-29,1.87,1.87,1.74,1.74,28550
2013-07-30,1.83,1.85,1.74,1.85,70930
2013-07-31,1.97,1.97,1.91,1.97,148850
2013-08-01,2.01,2.1,1.91,2.06,49600
2013-08-02,1.99,2.06,1.97,1.97,41830
2013-08-05,2.01,2.01,1.89,1.89,57950
2013-08-06,1.89,1.97,1.83,1.89,56610
2013-08-07,1.87,1.91,1.85,1.85,73390
2013-08-08,1.91,1.93,1.85,1.89,35820
2013-08-09,1.91,1.93,1.85,1.89,14840
2013-08-12,1.89,1.91,1.85,1.89,11130
2013-08-13,1.91,1.91,1.85,1.89,13440
2013-08-14,1.89,1.89,1.81,1.85,29570
2013-08-15,1.87,1.87,1.76,1.85,108770
2013-08-16,1.85,1.87,1.78,1.83,13040
2013-08-19,1.83,1.91,1.81,1.87,20640
2013-08-20,1.85,1.85,1.79,1.83,18090
2013-08-21,1.78,1.85,1.78,1.85,53160
2013-08-22,1.85,1.87,1.83,1.85,34770
2013-08-23,1.89,1.93,1.85,1.87,57390
2013-08-26,1.83,1.85,1.79,1.85,18630
2013-08-27,1.83,1.83,1.79,1.83,10580
2013-08-28,1.83,1.83,1.72,1.72,84690
2013-08-29,1.66,1.72,1.64,1.72,53890
2013-08-30,1.72,1.72,1.64,1.7,6590
2013-09-03,1.78,1.78,1.64,1.66,17700
2013-09-04,1.66,1.66,1.58,1.64,6290
2013-09-05,1.64,1.68,1.64,1.66,43580
2013-09-06,1.66,1.68,1.6,1.66,8840
2013-09-09,1.66,1.66,1.56,1.56,28230
2013-09-10,1.54,1.64,1.54,1.58,8830
2013-09-11,1.6,1.62,1.58,1.6,5670
2013-09-12,1.6,1.6,1.56,1.56,6650
2013-09-13,1.58,1.6,1.54,1.58,12520
2013-09-16,1.58,1.68,1.58,1.68,46610
2013-09-17,1.64,1.68,1.62,1.68,5840
2013-09-18,1.6,1.68,1.6,1.64,7210
2013-09-19,1.64,1.66,1.64,1.64,17390
2013-09-20,1.64,1.64,1.6,1.64,9650
2013-09-23,1.64,1.64,1.62,1.64,17600
2013-09-24,1.68,1.68,1.64,1.68,18410
2013-09-25,1.62,1.7,1.62,1.68,32560
2013-09-26,1.68,1.7,1.66,1.7,40340
2013-09-27,1.66,1.7,1.64,1.64,26550
2013-09-30,1.64,1.7,1.64,1.7,56250
2013-10-01,1.76,1.81,1.76,1.81,361580
2013-10-02,1.89,1.93,1.81,1.91,274260
2013-10-03,1.91,1.91,1.79,1.83,135120
2013-10-04,1.79,1.87,1.79,1.83,98550
2013-10-07,1.85,1.93,1.79,1.93,198190
2013-10-08,1.99,1.99,1.89,1.95,179330
2013-10-09,1.93,1.95,1.87,1.87,168680
2013-10-10,1.89,1.89,1.79,1.79,115600
2013-10-11,1.79,1.85,1.78,1.78,250660
2013-10-14,1.74,1.79,1.68,1.72,294820
2013-10-15,1.68,1.76,1.68,1.76,158370
2013-10-16,1.78,1.78,1.68,1.72,116490
2013-10-17,1.68,1.76,1.66,1.7,228130
2013-10-18,1.68,1.7,1.64,1.66,117400
2013-10-21,1.68,1.72,1.66,1.7,110830
2013-10-22,1.72,1.72,1.68,1.7,84740
2013-10-23,1.72,1.76,1.68,1.7,156290
2013-10-24,1.7,1.72,1.68,1.7,52810
2013-10-25,1.7,1.74,1.66,1.74,101380
2013-10-28,1.7,1.72,1.66,1.68,40520
2013-10-29,1.64,1.7,1.64,1.66,13990
2013-10-30,1.66,1.68,1.62,1.64,74460
2013-10-31,1.64,1.66,1.62,1.64,37150
2013-11-01,1.64,1.64,1.6,1.6,148990
2013-11-04,1.62,1.7,1.58,1.66,71470
2013-11-05,1.64,1.7,1.64,1.66,50400
2013-11-06,1.66,1.68,1.62,1.68,99570
2013-11-07,1.66,1.68,1.64,1.66,52750
2013-11-08,1.66,1.66,1.62,1.64,48730
2013-11-11,1.64,1.7,1.64,1.7,63740
