time,open,high,low,close,volume
2013-06-06,10.26,11.06,10.22,10.22,102390
2013-06-07,10.39,10.88,9.77,10.83,11670
2013-06-10,10.83,10.83,10.17,10.17,6890
2013-06-11,10.75,10.75,10.17,10.17,2730
2013-06-12,10.04,10.61,10.04,10.57,9890
2013-06-13,10.61,10.7,10.48,10.57,12200
2013-06-14,10.61,10.61,10.48,10.61,7600
2013-06-17,10.52,10.61,10.39,10.57,5100
2013-06-18,10.39,10.61,9.91,10.61,7030
2013-06-19,10.61,10.61,10.61,10.61,10000
2013-06-20,9.95,10.61,9.95,10.61,6210
2013-06-21,10.52,10.57,10.52,10.57,11010
2013-06-24,9.95,10.52,9.95,10.52,1510
2013-06-25,10.17,10.52,9.82,9.82,52430
2013-06-26,9.82,10.39,9.82,10.39,5260
2013-06-27,9.77,10.17,9.73,10.17,7110
2013-06-28,9.55,10.17,9.55,10.17,120
2013-07-01,10.08,10.08,10.08,10.08,4010
2013-07-02,10.08,10.08,9.64,9.77,53530
2013-07-03,10.17,10.17,9.42,9.73,49230
2013-07-04,9.33,10.17,9.33,9.95,24280
2013-07-05,9.77,9.95,9.77,9.95,19450
2013-07-08,10.08,10.08,9.64,9.64,12980
2013-07-09,9.95,9.95,9.95,9.95,6500
2013-07-10,9.91,9.95,9.68,9.86,16520
2013-07-11,9.86,9.86,9.73,9.73,24550
2013-07-12,9.82,9.86,9.73,9.82,29300
2013-07-15,9.86,9.86,9.73,9.73,42060
2013-07-16,9.73,9.73,9.68,9.73,27360
2013-07-17,9.73,9.82,9.68,9.82,18890
2013-07-18,9.68,9.82,9.55,9.82,30820
2013-07-19,9.82,9.86,9.82,9.86,23700
2013-07-22,9.86,9.86,9.82,9.86,13000
2013-07-23,9.86,9.86,9.86,9.86,1200
2013-07-24,9.73,9.77,9.64,9.64,8540
2013-07-25,9.73,9.73,9.73,9.73,10
2013-07-26,9.73,9.73,9.73,9.73,0
2013-07-29,9.73,9.73,9.73,9.73,0
2013-07-30,9.73,9.73,9.73,9.73,450
2013-07-31,9.51,9.73,9.51,9.73,510
2013-08-01,9.73,9.73,9.73,9.73,0
2013-08-02,9.73,9.73,9.2,9.2,74800
2013-08-05,9.68,9.68,9.68,9.68,10
2013-08-06,9.68,9.68,9.64,9.68,11500
2013-08-07,9.68,9.68,9.68,9.68,10
2013-08-08,9.42,9.95,9.24,9.95,25900
2013-08-09,9.33,10.04,9.33,10.04,21320
2013-08-12,9.51,10.04,9.51,9.99,30330
2013-08-13,9.91,9.99,9.86,9.99,27200
2013-08-14,9.99,10.61,9.51,10.61,35160
2013-08-15,10.52,10.57,10.17,10.48,29100
2013-08-16,10.39,10.52,10.17,10.52,28010
2013-08-19,10.57,10.57,10.39,10.52,21000
2013-08-20,10.35,10.44,10.17,10.44,32270
2013-08-21,10.35,10.39,9.86,10.39,30340
2013-08-22,10.35,10.35,10.3,10.3,21000
2013-08-23,10.26,10.3,10.26,10.3,10010
2013-08-26,10.13,10.13,9.95,10.13,29010
2013-08-27,10.13,10.26,9.55,10.17,23180
2013-08-28,10.17,10.17,10.17,10.17,0
2013-08-29,10.04,10.08,10.04,10.04,20010
2013-08-30,9.51,10.17,9.38,10.17,25960
2013-09-03,10.04,10.39,9.95,10.22,24020
2013-09-04,10.08,10.13,9.99,10.13,25280
2013-09-05,10.13,10.13,10.13,10.13,0
2013-09-06,9.95,10.26,9.55,10.26,27560
2013-09-09,10.17,10.22,9.55,9.95,30130
2013-09-10,9.73,10.13,9.73,10.13,26440
2013-09-11,9.95,10.17,9.91,10.17,28120
2013-09-12,9.95,10.17,9.95,10.17,22040
2013-09-13,9.46,10.08,9.46,10.08,27110
2013-09-16,9.86,10.04,9.73,10.04,37440
2013-09-17,10.08,10.08,9.99,10.04,37640
2013-09-18,9.73,10.04,9.38,9.99,14090
2013-09-19,9.33,9.33,9.33,9.33,10
2013-09-20,9.86,9.95,9.73,9.95,39000
2013-09-23,9.91,9.91,9.6,9.6,3020
2013-09-24,10.13,10.17,10.13,10.17,37800
2013-09-25,9.95,9.95,9.86,9.91,39030
2013-09-26,9.91,10.17,9.29,9.86,43850
2013-09-27,9.95,10.04,9.2,9.86,68320
2013-09-30,9.86,9.86,9.2,9.2,26190
2013-10-01,9.51,9.51,9.42,9.46,27520
2013-10-02,9.38,9.42,8.84,9.29,34820
2013-10-03,8.67,9.29,8.67,9.15,36630
2013-10-04,9.15,9.15,8.84,9.15,6140
2013-10-07,9.11,9.15,9.11,9.15,130
2013-10-08,8.84,8.84,8.53,8.84,17660
2013-10-09,8.23,8.8,8.23,8.71,6240
2013-10-10,8.14,8.18,8.14,8.14,11820
2013-10-11,8.58,8.58,7.87,8.4,6750
2013-10-14,7.96,7.96,7.96,7.96,7070
2013-10-15,7.74,8.36,7.74,8.36,2130
2013-10-16,8.36,8.36,8.27,8.27,1020
2013-10-17,8.27,8.27,8.27,8.27,110
2013-10-18,8.18,8.23,8.18,8.23,1400
2013-10-21,7.96,8.09,7.78,8.09,1580
2013-10-22,8.36,8.36,8.36,8.36,1500
2013-10-23,7.96,8.18,7.96,8.18,600
2013-10-24,8.0,8.0,7.96,8.0,2060
2013-10-25,7.96,8.05,7.96,8.05,29000
2013-10-28,8.27,8.27,8.27,8.27,70
2013-10-29,8.18,8.31,7.96,8.0,19330
2013-10-30,8.0,8.0,8.0,8.0,100
2013-10-31,7.96,7.96,7.96,7.96,400
2013-11-01,7.92,8.05,7.92,8.05,3910
2013-11-04,8.05,8.05,7.52,7.52,3060
2013-11-05,7.52,7.83,7.52,7.56,8380
2013-11-06,7.78,7.87,7.78,7.87,760
2013-11-07,7.74,8.31,7.74,8.09,101510
2013-11-08,8.09,8.09,8.09,8.09,60
2013-11-11,8.09,8.14,7.96,8.05,6880
2013-11-12,7.96,7.96,7.52,7.52,30480
2013-11-13,7.52,7.56,7.34,7.34,31000
2013-11-14,7.74,7.83,7.61,7.83,37890
2013-11-15,7.61,7.74,7.52,7.74,9960
2013-11-18,7.65,7.78,7.43,7.52,2920
2013-11-19,7.52,7.52,7.43,7.52,10020
2013-11-20,7.56,7.78,7.56,7.56,11000
2013-11-21,7.56,7.74,7.39,7.52,24490
2013-11-22,7.52,7.74,7.39,7.74,10460
2013-11-25,7.74,7.83,7.52,7.65,62710
2013-11-26,7.3,7.69,7.3,7.69,2360
2013-11-27,7.52,7.69,7.43,7.65,19350
2013-11-28,7.65,7.65,7.39,7.56,7750
2013-11-29,7.47,7.56,7.39,7.56,5880
2013-12-02,7.52,7.56,7.47,7.56,3410
2013-12-03,7.52,7.52,7.47,7.47,5090
2013-12-04,7.39,7.52,7.39,7.52,6840
2013-12-05,7.61,7.74,7.52,7.52,20570
2013-12-06,7.52,7.52,7.43,7.43,20880
2013-12-09,7.47,7.56,7.34,7.47,11500
2013-12-10,7.47,7.47,7.39,7.47,12500
2013-12-11,7.3,7.3,7.3,7.3,3950
2013-12-12,7.3,7.74,7.25,7.74,23790
2013-12-13,7.65,7.65,7.43,7.52,8120
2013-12-16,7.69,7.69,7.43,7.56,24450
2013-12-17,7.65,7.65,7.52,7.52,7700
2013-12-18,7.52,7.52,7.52,7.52,0
2013-12-19,7.52,7.52,7.43,7.52,6170
2013-12-20,7.52,7.65,7.47,7.56,19330
2013-12-23,7.52,7.52,7.52,7.52,6500
2013-12-24,7.47,7.56,7.03,7.56,11530
2013-12-25,7.52,7.52,7.52,7.52,2000
2013-12-26,7.52,7.65,7.52,7.65,3400
2013-12-27,7.52,7.61,7.52,7.56,12320
2013-12-30,7.56,7.56,7.39,7.52,12510
2013-12-31,7.52,7.61,7.52,7.61,10250
2014-01-02,7.61,7.61,7.61,7.61,0
2014-01-03,7.61,7.74,7.52,7.69,7500
2014-01-06,7.43,7.69,7.39,7.69,5660
2014-01-07,7.69,7.69,7.69,7.69,0
2014-01-08,7.52,7.65,7.47,7.61,37910
2014-01-09,7.56,7.61,7.47,7.61,14210
2014-01-10,7.52,7.52,7.47,7.52,530
2014-01-13,7.52,7.52,7.43,7.52,11010
2014-01-14,7.47,7.52,7.43,7.52,8660
2014-01-15,7.43,7.52,7.43,7.52,12450
2014-01-16,7.52,7.52,7.43,7.52,4930
