time,open,high,low,close,volume
2013-06-06,3.74,3.81,3.71,3.81,31920
2013-06-07,3.82,3.82,3.74,3.81,40310
2013-06-10,3.93,3.93,3.8,3.8,30400
2013-06-11,3.74,3.8,3.74,3.78,12550
2013-06-12,3.8,3.8,3.74,3.77,14030
2013-06-13,3.74,3.74,3.69,3.7,51980
2013-06-14,3.8,3.8,3.7,3.7,5730
2013-06-17,3.7,3.81,3.7,3.74,32850
2013-06-18,3.67,3.73,3.67,3.73,8800
2013-06-19,3.73,3.73,3.69,3.7,27600
2013-06-20,3.7,3.7,3.65,3.67,26870
2013-06-21,3.66,3.66,3.65,3.65,1440
2013-06-24,3.67,3.67,3.61,3.61,13030
2013-06-25,3.61,3.61,3.47,3.47,21390
2013-06-26,3.46,3.54,3.46,3.54,14220
2013-06-27,3.54,3.67,3.54,3.67,23560
2013-06-28,3.65,3.67,3.65,3.67,530
2013-07-01,3.61,3.61,3.61,3.61,21300
2013-07-02,3.61,3.66,3.61,3.65,2430
2013-07-03,3.61,3.63,3.61,3.63,9880
2013-07-04,3.58,3.63,3.58,3.63,7600
2013-07-05,3.65,3.65,3.65,3.65,3660
2013-07-08,3.66,3.66,3.61,3.65,100
2013-07-09,3.59,3.61,3.59,3.61,7240
2013-07-10,3.58,3.61,3.58,3.61,1780
2013-07-11,3.65,3.65,3.59,3.59,3070
2013-07-12,3.62,3.62,3.57,3.62,4720
2013-07-15,3.66,3.66,3.57,3.61,3320
2013-07-16,3.54,3.61,3.54,3.54,24080
2013-07-17,3.54,3.59,3.52,3.59,23000
2013-07-18,3.54,3.59,3.52,3.59,21460
2013-07-19,3.62,3.62,3.54,3.54,20290
2013-07-22,3.7,3.7,3.51,3.54,29940
2013-07-23,3.66,3.66,3.57,3.61,68070
2013-07-24,3.61,3.61,3.54,3.54,20250
2013-07-25,3.63,3.63,3.55,3.58,8380
2013-07-26,3.58,3.58,3.55,3.58,17550
2013-07-29,3.57,3.57,3.47,3.57,4010
2013-07-30,3.47,3.57,3.47,3.57,26910
2013-07-31,3.59,3.59,3.57,3.59,13500
2013-08-01,3.57,3.61,3.57,3.61,6540
2013-08-02,3.61,3.62,3.61,3.61,16290
2013-08-05,3.57,3.61,3.57,3.61,12920
2013-08-06,3.61,3.61,3.57,3.57,4080
2013-08-07,3.58,3.61,3.55,3.57,9450
2013-08-08,3.58,3.58,3.54,3.58,10600
2013-08-09,3.61,3.63,3.61,3.62,10880
2013-08-12,3.61,3.67,3.61,3.66,2800
2013-08-13,3.65,3.66,3.61,3.65,11650
2013-08-14,3.67,3.69,3.66,3.67,16210
2013-08-15,3.67,3.67,3.65,3.65,15670
2013-08-16,3.65,3.67,3.65,3.67,2090
2013-08-19,3.63,3.74,3.63,3.73,17960
2013-08-20,3.7,3.71,3.67,3.67,11450
2013-08-21,3.67,3.67,3.62,3.67,2720
2013-08-22,3.63,3.65,3.61,3.61,12910
2013-08-23,3.61,3.65,3.59,3.59,19980
2013-08-26,3.58,3.66,3.58,3.65,13170
2013-08-27,3.63,3.63,3.61,3.61,1100
2013-08-28,3.54,3.74,3.54,3.62,1210
2013-08-29,3.62,3.63,3.61,3.61,5200
2013-08-30,3.61,3.61,3.61,3.61,1510
2013-09-03,3.59,3.62,3.59,3.62,12430
2013-09-04,3.62,3.62,3.59,3.61,2540
2013-09-05,3.74,3.74,3.62,3.67,3620
2013-09-06,3.62,3.65,3.61,3.65,3810
2013-09-09,3.65,3.65,3.61,3.61,1270
2013-09-10,3.67,3.67,3.59,3.65,5070
2013-09-11,3.65,3.7,3.65,3.69,13810
2013-09-12,3.69,3.71,3.67,3.7,13280
2013-09-13,3.71,3.71,3.69,3.7,24310
2013-09-16,3.7,3.7,3.65,3.69,3350
2013-09-17,3.69,3.69,3.61,3.67,13890
2013-09-18,3.67,3.67,3.65,3.65,10230
2013-09-19,3.61,3.65,3.61,3.65,80
2013-09-20,3.61,3.67,3.61,3.67,20
2013-09-23,3.61,3.66,3.61,3.66,5010
2013-09-24,3.63,3.65,3.63,3.65,8880
2013-09-25,3.65,3.66,3.63,3.65,4550
2013-09-26,3.73,3.73,3.65,3.69,1510
2013-09-27,3.66,3.67,3.66,3.67,120
2013-09-30,3.67,3.67,3.63,3.63,19890
