time,open,high,low,close,volume
2013-06-06,7.56,8.04,7.53,7.98,3990360
2013-06-07,7.98,8.13,7.9,7.95,2154780
2013-06-10,7.98,7.98,7.73,7.73,2687590
2013-06-11,7.7,7.73,7.5,7.56,2416830
2013-06-12,7.53,7.76,7.53,7.58,1352200
2013-06-13,7.61,7.64,7.47,7.56,2096000
2013-06-14,7.64,7.7,7.53,7.53,909080
2013-06-17,7.47,7.53,7.01,7.07,3193880
2013-06-18,7.07,7.1,6.79,7.1,2117390
2013-06-19,7.13,7.18,6.96,7.04,842120
2013-06-20,6.99,7.1,6.9,7.01,993500
2013-06-21,6.93,7.21,6.9,7.21,1794640
2013-06-24,7.21,7.36,7.1,7.13,1588670
2013-06-25,7.07,7.1,6.64,6.79,2960280
2013-06-26,6.84,6.9,6.61,6.73,1219040
2013-06-27,6.81,6.93,6.76,6.93,1389780
2013-06-28,6.99,7.07,6.9,6.93,1385040
2013-07-01,6.87,6.96,6.81,6.93,976110
2013-07-02,6.96,7.21,6.96,7.18,1713950
2013-07-03,7.13,7.5,7.1,7.41,3506350
2013-07-04,7.5,7.64,7.47,7.53,1635640
2013-07-05,7.58,7.61,7.41,7.41,1820430
2013-07-08,7.38,7.41,7.16,7.21,1985620
2013-07-09,7.18,7.33,7.16,7.33,1116120
2013-07-10,7.36,7.47,7.27,7.27,870160
2013-07-11,7.27,7.38,7.24,7.33,698680
2013-07-12,7.41,7.67,7.41,7.67,2317860
2013-07-15,7.76,7.78,7.61,7.64,1530790
2013-07-16,7.64,7.81,7.61,7.7,1215270
2013-07-17,7.67,7.81,7.61,7.7,1599610
2013-07-18,7.67,7.81,7.64,7.64,2107840
2013-07-19,7.7,7.73,7.67,7.7,1288800
2013-07-22,7.78,7.78,7.53,7.56,1440490
2013-07-23,7.58,7.64,7.5,7.53,1284610
2013-07-24,7.53,7.53,7.36,7.41,1885120
2013-07-25,7.38,7.44,7.27,7.27,1224640
2013-07-26,7.3,7.33,7.16,7.27,1470500
2013-07-29,7.27,7.27,6.99,7.04,1000090
2013-07-30,7.04,7.21,7.04,7.18,905730
2013-07-31,7.18,7.21,7.1,7.13,374710
2013-08-01,7.13,7.38,7.13,7.27,1007890
2013-08-02,7.44,7.5,7.33,7.33,2543750
2013-08-05,7.33,7.38,7.27,7.27,720510
2013-08-06,7.33,7.38,7.24,7.33,690770
2013-08-07,7.33,7.47,7.33,7.41,1260040
2013-08-08,7.44,7.47,7.3,7.33,932780
2013-08-09,7.36,7.44,7.3,7.33,967150
2013-08-12,7.33,7.36,7.24,7.3,765640
2013-08-13,7.24,7.33,7.18,7.18,777750
2013-08-14,7.18,7.33,7.16,7.27,1222380
2013-08-15,7.3,7.41,7.3,7.38,1113660
2013-08-16,7.38,7.64,7.36,7.53,3584910
2013-08-19,7.56,7.76,7.53,7.67,2469440
2013-08-20,7.64,7.73,7.58,7.58,1800960
2013-08-21,7.58,7.58,7.38,7.53,1779870
2013-08-22,7.5,7.53,7.33,7.36,1833500
2013-08-23,7.36,7.41,7.24,7.3,1402370
2013-08-26,7.3,7.38,7.18,7.36,991030
2013-08-27,7.33,7.36,7.24,7.24,568710
2013-08-28,7.18,7.18,6.96,7.01,3065350
2013-08-29,7.04,7.13,6.93,6.93,954500
2013-08-30,6.93,6.99,6.9,6.99,1127990
2013-09-03,7.04,7.07,6.96,6.96,688070
2013-09-04,6.96,7.01,6.76,6.76,1779850
2013-09-05,6.79,6.93,6.73,6.93,1315610
2013-09-06,6.93,6.99,6.87,6.93,622390
2013-09-09,6.87,6.87,6.73,6.76,1303330
2013-09-10,6.79,6.9,6.79,6.87,667390
2013-09-11,6.93,7.07,6.9,6.96,1091480
2013-09-12,6.9,6.99,6.9,6.93,372970
2013-09-13,6.96,7.01,6.93,6.93,723020
2013-09-16,6.9,6.96,6.79,6.84,1114970
2013-09-17,6.84,7.04,6.81,6.99,1330890
2013-09-18,6.99,7.04,6.87,6.87,514770
2013-09-19,6.96,7.04,6.96,6.96,1320790
2013-09-20,6.96,7.01,6.93,6.96,495720
2013-09-23,6.96,7.13,6.96,7.1,1074750
2013-09-24,7.1,7.33,7.1,7.27,2720090
2013-09-25,7.27,7.36,7.21,7.21,1432640
2013-09-26,7.21,7.38,7.18,7.3,1784930
2013-09-27,7.3,7.41,7.3,7.33,1398710
2013-09-30,7.38,7.44,7.36,7.36,1998690
2013-10-01,7.36,7.5,7.27,7.27,3178740
2013-10-02,7.36,7.41,7.3,7.3,1122820
2013-10-03,7.36,7.36,7.24,7.3,753960
2013-10-04,7.3,7.38,7.27,7.36,1044160
2013-10-07,7.38,7.47,7.36,7.47,1450470
2013-10-08,7.47,7.5,7.38,7.41,1046810
2013-10-09,7.36,7.44,7.33,7.33,888020
2013-10-10,7.38,7.41,7.24,7.24,1459080
2013-10-11,7.3,7.33,7.21,7.21,860950
2013-10-14,7.21,7.24,7.16,7.16,775610
2013-10-15,7.18,7.24,7.16,7.24,814170
2013-10-16,7.27,7.33,7.21,7.27,1046010
2013-10-17,7.36,7.38,7.27,7.27,978870
2013-10-18,7.3,7.36,7.27,7.33,510300
2013-10-21,7.36,7.5,7.3,7.38,2439070
2013-10-22,7.38,7.47,7.38,7.44,1741220
2013-10-23,7.5,7.58,7.47,7.53,1659610
2013-10-24,7.56,7.61,7.41,7.44,1461050
2013-10-25,7.47,7.5,7.36,7.44,1345440
2013-10-28,7.47,7.47,7.33,7.33,850840
2013-10-29,7.3,7.38,7.27,7.38,789400
2013-10-30,7.41,7.44,7.36,7.36,636300
2013-10-31,7.38,7.5,7.33,7.41,1325550
2013-11-01,7.5,7.53,7.44,7.44,1598080
2013-11-04,7.47,7.5,7.44,7.44,745890
2013-11-05,7.44,7.53,7.44,7.5,966810
2013-11-06,7.5,7.56,7.5,7.5,766660
2013-11-07,7.5,7.61,7.5,7.5,1747080
2013-11-08,7.53,7.56,7.47,7.47,753550
2013-11-11,7.53,7.61,7.47,7.56,1448080
2013-11-12,7.58,7.7,7.56,7.58,2591970
2013-11-13,7.58,7.64,7.56,7.58,859880
2013-11-14,7.58,7.7,7.56,7.64,1100360
2013-11-15,7.7,7.93,7.67,7.93,3922660
2013-11-18,8.01,8.18,7.98,8.1,2312040
2013-11-19,8.1,8.15,8.04,8.13,1606600
2013-11-20,8.1,8.3,8.07,8.3,2416760
2013-11-21,8.38,8.55,8.18,8.18,4021730
2013-11-22,8.21,8.38,8.15,8.38,2175850
2013-11-25,8.5,8.5,8.24,8.27,1439170
2013-11-26,8.27,8.38,8.24,8.3,1391820
2013-11-27,8.33,8.41,8.24,8.3,1766860
2013-11-28,8.33,8.38,8.27,8.33,1342700
2013-11-29,8.35,8.38,8.21,8.21,1748770
2013-12-02,8.21,8.27,8.15,8.15,1685510
2013-12-03,8.18,8.64,8.15,8.5,5298450
2013-12-04,8.52,8.67,8.47,8.55,1937600
2013-12-05,8.55,8.67,8.5,8.52,2025920
2013-12-06,8.52,8.64,8.47,8.64,1761440
2013-12-09,8.64,8.81,8.64,8.7,2526110
2013-12-10,8.72,8.72,8.55,8.64,2040610
2013-12-11,8.61,8.64,8.35,8.38,4315530
2013-12-12,8.33,8.5,8.21,8.47,2596780
2013-12-13,8.47,8.52,8.41,8.44,1008230
2013-12-16,8.33,8.47,8.33,8.35,908100
2013-12-17,8.33,8.41,8.33,8.38,865690
2013-12-18,8.38,8.5,8.35,8.44,989630
2013-12-19,8.5,8.58,8.44,8.47,1511030
2013-12-20,8.47,8.47,8.38,8.41,1466500
2013-12-23,8.41,8.44,8.35,8.38,1210510
2013-12-24,8.38,8.41,8.3,8.3,1423610
2013-12-25,8.3,8.33,8.27,8.3,823290
2013-12-26,8.3,8.5,8.3,8.41,1773070
2013-12-27,8.41,8.47,8.33,8.38,608880
2013-12-30,8.38,8.38,8.21,8.24,1481200
2013-12-31,8.27,8.5,8.24,8.44,2370570
2014-01-02,8.5,8.61,8.41,8.44,1515510
2014-01-03,8.44,8.47,8.41,8.47,564580
2014-01-06,8.47,8.61,8.44,8.61,1800770
2014-01-07,8.64,8.72,8.55,8.58,1525810
2014-01-08,8.61,8.7,8.5,8.67,1748150
2014-01-09,8.7,9.12,8.61,9.12,3258330
2014-01-10,9.24,9.29,8.98,8.98,2158560
2014-01-13,9.01,9.04,8.9,8.95,1728870
2014-01-14,8.92,9.12,8.92,8.95,1963590
2014-01-15,9.07,9.21,8.95,9.04,3225800
2014-01-16,9.07,9.12,8.95,9.04,1542660
2014-01-17,9.15,9.24,9.04,9.04,3069650
2014-01-20,9.04,9.15,8.98,9.01,2161480
2014-01-21,9.04,9.21,8.92,9.21,2133760
2014-01-22,9.32,9.58,9.24,9.32,3442680
2014-01-23,9.44,9.52,9.38,9.47,1638190
2014-01-24,9.47,9.69,9.47,9.69,1819070
2014-01-27,9.69,9.92,9.58,9.89,1657370
2014-02-06,9.78,9.95,9.69,9.78,1164650
2014-02-07,9.78,9.84,9.49,9.52,3308810
2014-02-10,9.49,9.78,9.47,9.69,1466580
2014-02-11,9.84,9.84,9.49,9.49,2034730
2014-02-12,9.52,9.69,9.47,9.69,1790850
2014-02-13,9.75,9.81,9.64,9.69,1693840
2014-02-14,9.72,9.75,9.58,9.69,1801750
2014-02-17,9.69,9.75,9.58,9.67,1615050
2014-02-18,9.69,9.92,9.69,9.92,2207500
2014-02-19,10.13,10.16,9.95,10.04,2914630
2014-02-20,9.98,10.04,9.38,9.56,3380380
2014-02-21,9.56,9.83,9.35,9.62,1762670
2014-02-24,9.65,9.83,9.5,9.8,1281940
2014-02-25,9.77,9.86,9.71,9.8,1548300
2014-02-26,9.8,9.92,9.68,9.8,2215760
2014-02-27,9.77,9.86,9.62,9.62,1813210
2014-02-28,9.68,9.68,9.53,9.59,1040260
2014-03-03,9.56,9.56,9.17,9.17,2549610
2014-03-04,8.97,9.17,8.88,9.17,1888000
2014-03-05,9.26,9.41,9.2,9.41,1143380
2014-03-06,9.41,9.44,9.29,9.38,1260480
2014-03-07,9.38,9.41,9.29,9.35,878470
2014-03-10,9.35,9.56,9.29,9.47,1459660
2014-03-11,9.53,9.68,9.47,9.56,2015480
2014-03-12,9.59,9.89,9.53,9.65,2385630
2014-03-13,9.65,9.74,9.59,9.74,1207560
2014-03-14,9.74,9.74,9.53,9.56,2889390
2014-03-17,9.56,9.65,9.5,9.5,1734540
2014-03-18,9.53,9.68,9.47,9.56,1345200
2014-03-19,9.56,9.62,9.5,9.53,1414730
2014-03-20,9.59,9.68,9.5,9.53,1714320
2014-03-21,9.56,9.86,9.53,9.74,3284490
2014-03-24,9.83,9.92,9.74,9.8,1289370
2014-03-25,9.86,9.86,9.62,9.68,2470430
2014-03-26,9.65,9.68,9.35,9.47,3096800
2014-03-27,9.41,9.47,9.29,9.41,1297480
2014-03-28,9.5,9.65,9.41,9.53,1782020
2014-03-31,9.53,9.53,9.38,9.38,876690
2014-04-01,9.41,9.59,9.32,9.35,2121640
2014-04-02,9.38,9.47,9.29,9.35,1492400
2014-04-03,9.35,9.5,9.35,9.41,679670
2014-04-04,9.41,9.44,9.32,9.38,1087460
2014-04-07,9.44,9.47,9.38,9.41,1121870
2014-04-08,9.44,9.47,9.35,9.41,1158100
2014-04-10,9.44,9.47,9.32,9.32,760490
2014-04-11,9.29,9.32,9.2,9.2,1340230
2014-04-14,9.23,9.29,9.15,9.17,1300410
2014-04-15,9.15,9.15,8.67,8.67,1911440
2014-04-16,8.67,8.67,8.22,8.34,1946730
2014-04-17,8.43,8.79,8.43,8.64,1420540
2014-04-18,8.64,8.64,8.31,8.37,1219050
2014-04-21,8.34,8.37,8.13,8.16,1098700
2014-04-22,8.22,8.43,8.1,8.43,878570
2014-04-23,8.43,8.43,8.22,8.22,595470
2014-04-24,8.16,8.28,8.16,8.28,479640
2014-04-25,8.31,8.37,8.25,8.37,843810
2014-04-28,8.37,8.37,8.22,8.22,487960
2014-04-29,8.22,8.25,8.13,8.19,394340
2014-05-05,8.16,8.22,7.89,7.92,1483950
2014-05-06,7.86,7.86,7.47,7.68,1302940
2014-05-07,7.71,7.89,7.53,7.74,1269790
2014-05-08,7.62,7.62,7.2,7.2,3045060
2014-05-09,6.9,7.23,6.9,7.14,1570390
2014-05-12,6.9,6.93,6.66,6.66,1310090
2014-05-13,6.34,6.6,6.28,6.31,2427080
2014-05-14,6.34,6.72,6.34,6.66,1603100
2014-05-15,6.66,6.93,6.28,6.55,2162220
2014-05-16,6.46,6.87,6.46,6.84,1389090
2014-05-19,6.84,7.14,6.81,7.08,1509710
2014-05-20,7.05,7.14,6.9,7.11,1096950
2014-05-21,7.14,7.59,7.02,7.59,2187020
2014-05-22,7.59,7.77,7.38,7.44,1520370
2014-05-23,7.41,7.47,7.32,7.44,635360
2014-05-26,7.35,7.47,7.2,7.38,685150
2014-05-27,7.38,7.68,7.35,7.62,1286270
2014-05-28,7.68,7.8,7.62,7.71,876200
2014-05-29,7.62,7.83,7.5,7.56,1380020
2014-05-30,7.59,7.62,7.44,7.53,871260
2014-06-02,7.5,7.5,7.26,7.29,932110
2014-06-03,7.32,7.38,7.26,7.32,474450
2014-06-04,7.32,7.32,7.11,7.11,836190
2014-06-05,7.08,7.26,7.08,7.17,425200
2014-06-06,7.17,7.59,7.17,7.59,654990
2014-06-09,7.56,7.68,7.41,7.47,1044640
2014-06-10,7.38,7.5,7.32,7.38,540930
2014-06-11,7.32,7.53,7.32,7.47,523940
2014-06-12,7.47,7.53,7.41,7.44,939740
2014-06-13,7.47,7.71,7.41,7.59,2228380
2014-06-16,7.59,7.68,7.56,7.59,513630
2014-06-17,7.59,7.77,7.56,7.77,931820
2014-06-18,7.77,7.8,7.65,7.68,861770
2014-06-19,7.56,7.62,7.41,7.56,1220190
