time,open,high,low,close,volume
2013-06-06,9.69,9.76,9.61,9.61,549640
2013-06-07,9.61,9.76,9.54,9.76,906520
2013-06-10,10.11,10.11,9.83,9.83,1263220
2013-06-11,9.9,9.9,9.54,9.61,1013170
2013-06-12,9.69,9.83,9.61,9.69,650840
2013-06-13,9.61,9.76,9.4,9.54,643900
2013-06-14,9.54,9.54,9.12,9.12,1565440
2013-06-17,9.19,9.19,8.91,8.98,1538990
2013-06-18,9.05,9.12,8.98,8.98,1364110
2013-06-19,9.12,9.12,8.98,8.98,951470
2013-06-20,8.98,9.05,8.91,8.91,357810
2013-06-21,8.84,8.98,8.77,8.84,635240
2013-06-24,8.91,8.98,8.7,8.77,755930
2013-06-25,8.77,8.77,8.35,8.63,946390
2013-06-26,8.63,8.7,8.42,8.63,1003120
2013-06-27,8.63,8.84,8.63,8.84,345020
2013-06-28,8.84,8.91,8.77,8.77,320100
2013-07-01,8.77,8.77,8.56,8.63,155160
2013-07-02,8.7,8.98,8.63,8.91,413990
2013-07-03,8.91,8.98,8.77,8.91,514930
2013-07-04,8.91,9.05,8.84,8.84,1982700
2013-07-05,8.91,8.91,8.77,8.84,144780
2013-07-08,8.84,8.84,8.63,8.7,238650
2013-07-09,8.7,8.84,8.7,8.84,280430
2013-07-10,8.91,8.91,8.7,8.77,207760
2013-07-11,8.77,8.91,8.7,8.91,2499420
2013-07-12,8.91,9.12,8.84,9.12,2300070
2013-07-15,9.12,9.19,8.84,9.05,2470510
2013-07-16,9.05,9.12,8.84,8.98,3291530
2013-07-17,8.98,9.12,8.84,8.98,3892710
2013-07-18,8.91,9.05,8.84,8.91,4173320
2013-07-19,8.98,9.05,8.84,8.98,3411160
2013-07-22,8.98,8.98,8.84,8.91,4404440
2013-07-23,8.91,8.98,8.84,8.91,4466240
2013-07-24,8.91,8.98,8.77,8.91,2637950
2013-07-25,8.91,8.98,8.84,8.98,4287660
2013-07-26,8.98,8.98,8.84,8.98,3877670
2013-07-29,8.91,8.98,8.84,8.84,1029000
2013-07-30,8.84,8.91,8.7,8.7,176550
2013-07-31,8.7,8.84,8.56,8.84,273900
2013-08-01,8.7,8.91,8.7,8.91,185760
2013-08-02,8.84,8.98,8.84,8.91,171820
2013-08-05,8.84,8.98,8.84,8.98,264270
2013-08-06,8.91,9.05,8.84,9.05,397020
2013-08-07,9.05,9.33,8.98,9.26,506530
2013-08-08,9.26,9.33,9.19,9.26,280580
2013-08-09,9.26,9.33,9.12,9.26,268440
2013-08-12,9.26,9.26,9.05,9.05,185980
