time,open,high,low,close,volume
2013-06-06,30.57,30.8,30.34,30.8,188880
2013-06-07,31.03,31.25,30.8,31.03,146880
2013-06-10,31.25,31.71,31.25,31.48,290650
2013-06-11,31.71,31.94,31.25,31.94,164490
2013-06-12,31.94,31.94,31.71,31.71,108800
2013-06-13,31.48,31.48,31.03,31.48,257630
2013-06-14,31.66,31.9,31.43,31.66,76880
2013-06-17,31.66,31.66,30.51,30.51,390940
2013-06-18,30.51,30.97,30.51,30.74,120890
2013-06-19,31.2,31.43,30.97,31.2,130700
2013-06-20,31.2,31.43,30.74,30.97,112610
2013-06-21,30.74,31.2,30.74,30.97,123320
2013-06-24,31.2,31.2,30.51,30.97,154040
2013-06-25,30.74,30.97,29.35,30.05,419640
2013-06-26,30.05,30.28,29.82,30.05,226880
2013-06-27,30.28,30.51,30.05,30.51,205810
2013-06-28,30.51,30.74,30.28,30.51,100240
2013-07-01,30.05,30.51,30.05,30.28,113300
2013-07-02,30.74,31.2,30.74,31.2,346060
2013-07-03,31.2,31.43,30.97,30.97,149530
2013-07-04,30.97,31.2,30.74,30.97,97200
2013-07-05,30.97,31.2,30.74,30.97,72890
2013-07-08,30.97,31.2,30.74,30.97,130740
2013-07-09,31.2,31.66,31.2,31.43,189580
2013-07-10,31.66,31.9,31.43,31.43,161190
2013-07-11,31.43,31.66,31.2,31.43,112390
2013-07-12,31.43,31.66,31.2,31.66,153350
2013-07-15,31.66,31.9,31.43,31.66,122900
2013-07-16,31.66,32.36,31.66,32.13,506730
2013-07-17,32.36,32.36,31.9,32.36,245830
2013-07-18,32.13,32.59,32.13,32.36,201870
2013-07-19,32.59,33.28,32.59,33.28,422230
2013-07-22,33.28,33.51,32.82,33.51,209600
2013-07-23,33.75,33.98,33.51,33.51,382650
2013-07-24,33.51,33.51,32.82,32.82,386880
2013-07-25,32.82,33.28,32.59,33.05,230340
2013-07-26,33.05,33.28,32.82,33.28,162950
2013-07-29,33.28,33.51,32.59,32.59,253290
2013-07-30,32.82,33.05,32.59,32.82,241950
2013-07-31,32.82,33.51,32.82,33.51,247770
2013-08-01,33.51,33.75,33.28,33.51,183380
2013-08-02,33.75,33.98,33.51,33.75,174920
2013-08-05,33.75,33.98,33.28,33.28,371780
2013-08-06,33.28,33.98,33.05,33.75,291030
2013-08-07,33.75,33.75,33.51,33.51,292010
2013-08-08,33.51,33.75,33.28,33.51,151820
2013-08-09,33.51,33.75,33.28,33.51,159070
2013-08-12,33.75,33.75,33.51,33.51,116260
2013-08-13,33.51,33.98,33.51,33.98,213280
2013-08-14,33.98,34.44,33.75,34.44,206100
2013-08-15,34.67,34.9,34.44,34.9,258740
2013-08-16,34.9,34.9,34.21,34.67,395060
2013-08-19,34.44,34.67,34.21,34.67,587140
2013-08-20,34.67,34.9,33.97,34.2,600930
2013-08-21,33.97,34.2,33.73,34.2,232120
2013-08-22,33.97,34.2,33.5,33.5,479780
2013-08-23,33.5,33.5,31.39,31.86,1332760
2013-08-26,31.62,32.79,30.69,32.79,799920
2013-08-27,32.56,32.79,32.09,32.56,375240
2013-08-28,32.33,32.33,31.15,31.15,704560
2013-08-29,31.15,31.62,30.92,30.92,686640
2013-08-30,30.92,31.15,29.51,30.45,989560
2013-09-03,30.92,31.62,30.69,31.15,240850
2013-09-04,31.62,32.56,31.62,31.86,559630
2013-09-05,32.56,33.26,32.33,32.56,606010
2013-09-06,33.26,33.26,32.33,32.56,622950
2013-09-09,32.33,32.56,31.62,31.86,213380
2013-09-10,31.86,32.33,31.86,32.33,98300
2013-09-11,32.33,32.56,32.09,32.33,145120
2013-09-12,32.33,32.33,32.09,32.09,67390
2013-09-13,32.09,32.33,31.86,32.33,57390
2013-09-16,32.33,32.33,31.86,32.09,62070
2013-09-17,32.09,32.33,31.86,32.09,82100
2013-09-18,32.33,32.33,31.86,31.86,73620
2013-09-19,32.09,32.33,31.86,32.09,58080
2013-09-20,32.09,32.33,31.86,32.33,35340
2013-09-23,32.09,32.33,31.86,32.09,128710
2013-09-24,32.09,32.33,31.86,32.33,61330
2013-09-25,32.09,33.5,32.09,32.79,257540
2013-09-26,32.79,33.03,32.56,32.56,91970
2013-09-27,32.56,32.79,32.33,32.79,57260
2013-09-30,32.79,33.03,32.56,33.03,92160
2013-10-01,33.03,33.26,32.56,32.56,124630
2013-10-02,32.56,33.03,32.56,32.79,98350
2013-10-03,32.79,32.79,32.56,32.56,61720
2013-10-04,32.56,32.79,32.33,32.79,88360
2013-10-07,32.79,33.03,32.56,32.79,153310
2013-10-08,32.79,32.79,32.56,32.79,156730
2013-10-09,32.79,33.5,32.56,33.26,334620
2013-10-10,33.26,33.5,32.79,32.79,129610
2013-10-11,33.03,33.26,32.79,32.79,160730
2013-10-14,32.79,33.26,32.79,33.03,91900
2013-10-15,33.03,33.26,32.79,33.26,100290
2013-10-16,33.26,33.26,33.03,33.26,110980
2013-10-17,33.26,33.5,33.03,33.03,125820
2013-10-18,33.03,33.26,33.03,33.26,139400
2013-10-21,33.26,33.26,33.03,33.26,83200
2013-10-22,33.26,33.26,33.03,33.03,91480
2013-10-23,33.26,33.26,33.03,33.03,35240
2013-10-24,33.03,33.73,33.03,33.26,428810
2013-10-25,33.5,33.73,33.26,33.26,107840
2013-10-28,33.26,33.5,33.03,33.03,55650
2013-10-29,33.03,33.26,32.56,33.03,272690
2013-10-30,33.03,33.03,32.79,33.03,43600
2013-10-31,33.03,33.26,32.79,32.79,78480
2013-11-01,33.03,33.03,32.79,32.79,68120
2013-11-04,32.79,33.03,32.79,32.79,70800
2013-11-05,32.79,33.03,32.79,33.03,50920
2013-11-06,33.03,33.03,32.79,33.03,181420
2013-11-07,32.79,33.03,32.56,32.79,143750
2013-11-08,32.56,33.03,32.56,32.56,150620
2013-11-11,32.56,32.79,32.56,32.56,72900
2013-11-12,32.56,32.79,32.33,32.56,104860
2013-11-13,32.56,32.56,32.33,32.56,60090
2013-11-14,32.56,32.79,32.56,32.56,90640
2013-11-15,32.56,33.26,32.56,33.03,328520
2013-11-18,33.03,33.26,33.03,33.26,118030
2013-11-19,33.26,33.5,33.03,33.26,117700
2013-11-20,33.03,33.26,33.03,33.03,82750
2013-11-21,33.26,33.26,32.79,33.03,189120
2013-11-22,33.03,33.26,32.79,33.03,107010
2013-11-25,33.03,33.03,32.79,33.03,84960
2013-11-26,33.03,33.97,32.79,33.73,796250
2013-11-27,34.2,34.2,33.73,33.73,225960
2013-11-28,33.73,33.73,33.26,33.26,268280
2013-11-29,33.26,33.5,32.79,33.26,295470
2013-12-02,33.26,33.26,33.03,33.03,167110
2013-12-03,33.03,33.5,33.03,33.26,238710
2013-12-04,33.26,33.26,33.03,33.03,164430
2013-12-05,32.79,33.26,32.79,33.26,186610
2013-12-06,33.26,33.26,33.03,33.03,39840
2013-12-09,32.79,33.03,32.56,32.56,307050
2013-12-10,32.56,32.79,32.33,32.79,117220
2013-12-11,32.79,33.03,32.56,33.03,184110
2013-12-12,32.79,33.03,32.79,32.79,65110
2013-12-13,33.03,33.03,32.56,32.79,58920
2013-12-16,32.75,32.98,32.75,32.75,44500
2013-12-17,32.98,32.98,32.51,32.75,81460
2013-12-18,32.75,32.75,32.51,32.51,125480
2013-12-19,32.75,32.75,32.51,32.75,73390
2013-12-20,32.75,32.75,32.51,32.75,75570
2013-12-23,32.51,32.75,32.28,32.51,82920
2013-12-24,32.51,32.75,32.28,32.28,102300
2013-12-25,32.28,32.28,31.8,32.04,241460
2013-12-26,32.04,32.28,31.8,31.8,209560
2013-12-27,31.8,32.28,31.8,32.04,70280
2013-12-30,32.04,32.28,31.8,31.8,137570
2013-12-31,31.8,32.28,31.57,31.8,196990
2014-01-02,31.8,32.28,31.8,31.8,32520
2014-01-03,31.8,32.04,31.8,32.04,30700
2014-01-06,31.8,32.04,31.8,32.04,77090
2014-01-07,32.04,32.04,31.8,31.8,105870
2014-01-08,31.8,32.04,31.8,32.04,38900
2014-01-09,32.04,32.04,31.8,32.04,31100
2014-01-10,32.04,32.75,32.04,32.51,202890
2014-01-13,32.28,32.51,32.28,32.28,61380
2014-01-14,32.28,32.51,32.04,32.28,92090
2014-01-15,32.51,32.51,32.04,32.51,114260
2014-01-16,32.51,32.51,32.28,32.28,74730
2014-01-17,32.28,33.22,32.28,32.75,540090
2014-01-20,32.75,34.16,32.75,33.45,517140
2014-01-21,33.45,33.45,32.98,33.22,99710
2014-01-22,33.45,33.45,32.75,32.98,318980
2014-01-23,32.98,33.45,32.98,33.22,107370
2014-01-24,33.22,33.69,33.22,33.45,261110
2014-01-27,33.45,33.45,32.98,33.22,112900
2014-02-06,33.22,33.45,32.98,32.98,177090
2014-02-07,32.98,33.22,32.75,32.98,241230
2014-02-10,32.98,32.98,32.51,32.98,206320
2014-02-11,32.75,33.22,32.75,32.75,263880
2014-02-12,32.75,32.98,32.75,32.98,87930
2014-02-13,33.22,33.22,32.75,32.75,146350
2014-02-14,32.98,33.45,32.75,32.98,303460
2014-02-17,32.98,33.22,32.75,32.98,151080
2014-02-18,32.98,33.22,32.75,32.98,223130
2014-02-19,32.98,33.22,32.75,32.75,226230
2014-02-20,32.75,32.98,32.51,32.51,340300
2014-02-21,32.51,32.98,32.28,32.51,242430
2014-02-24,32.51,32.98,32.51,32.75,172070
2014-02-25,32.75,32.98,32.51,32.75,301230
2014-02-26,32.75,32.75,32.51,32.75,138990
2014-02-27,32.75,33.92,32.51,33.45,1220670
2014-02-28,33.69,33.69,33.22,33.22,192120
2014-03-03,33.22,33.22,32.75,33.22,160300
2014-03-04,32.98,33.22,32.75,32.75,201430
2014-03-05,32.98,32.98,32.75,32.75,117520
2014-03-06,32.75,32.98,32.51,32.75,265540
2014-03-07,32.75,32.98,32.51,32.75,112590
2014-03-10,32.75,33.22,32.75,32.98,197440
2014-03-11,32.98,33.22,32.75,32.98,318340
2014-03-12,32.98,33.69,32.98,33.22,745520
2014-03-13,33.22,34.4,33.22,34.4,1007020
2014-03-14,34.63,35.81,34.4,35.34,797290
2014-03-17,35.34,35.57,34.63,34.87,396390
2014-03-18,34.87,34.87,34.4,34.63,441500
2014-03-19,34.63,34.87,34.16,34.4,348960
2014-03-20,34.4,34.63,33.69,33.69,441220
2014-03-21,33.69,34.16,33.69,33.92,243070
2014-03-24,34.16,34.4,33.69,33.69,446980
2014-03-25,33.69,33.92,33.45,33.45,328350
2014-03-26,33.45,33.69,32.75,32.98,495510
2014-03-27,33.22,33.22,32.75,32.98,273480
2014-03-28,32.98,33.45,32.98,33.22,208560
2014-03-31,33.45,33.69,33.22,33.22,175880
2014-04-01,33.45,33.45,32.98,33.22,181570
2014-04-02,33.22,33.45,32.98,33.22,209510
2014-04-03,33.22,34.16,33.22,33.92,277300
2014-04-04,33.92,34.16,33.69,34.16,359580
2014-04-07,35.1,35.34,34.63,34.87,761320
2014-04-08,34.87,35.1,34.63,34.63,284200
2014-04-10,34.63,34.87,33.92,33.92,415430
2014-04-11,33.69,34.16,33.45,33.69,200970
2014-04-14,33.69,33.92,33.45,33.45,376180
2014-04-15,33.45,33.69,32.98,33.22,343490
2014-04-16,33.22,33.45,32.75,33.22,267480
2014-04-17,33.22,33.45,32.98,33.22,197770
2014-04-18,33.22,33.22,32.75,32.98,252270
2014-04-21,32.98,32.98,32.75,32.75,254000
2014-04-22,32.98,32.98,32.51,32.98,160270
2014-04-23,32.98,32.98,32.75,32.75,73720
2014-04-24,32.75,32.98,32.51,32.75,148570
2014-04-25,32.98,33.45,32.75,33.22,162140
2014-04-28,32.98,32.98,32.75,32.75,157990
2014-04-29,32.51,32.98,32.51,32.75,80990
2014-05-05,32.75,32.75,32.04,32.28,264620
2014-05-06,32.28,32.28,31.1,31.33,271300
2014-05-07,31.57,32.04,31.33,31.57,96260
2014-05-08,31.33,31.33,29.45,29.45,866350
2014-05-09,29.68,30.86,29.45,30.63,255360
2014-05-12,30.63,30.63,28.74,29.21,444150
2014-05-13,28.97,29.93,28.97,28.97,235060
2014-05-14,28.49,29.69,28.49,29.69,283680
2014-05-15,29.21,29.93,28.49,28.73,303320
2014-05-16,28.73,29.21,28.49,28.97,220610
2014-05-19,28.97,29.45,28.73,29.21,165780
2014-05-20,29.21,29.69,28.97,29.45,141870
2014-05-21,29.45,29.93,29.45,29.93,117900
2014-05-22,29.93,30.65,29.93,30.17,205250
2014-05-23,30.17,30.41,29.93,29.93,76260
2014-05-26,29.93,29.93,29.45,29.45,106630
2014-05-27,29.69,29.93,29.21,29.69,155960
2014-05-28,29.69,29.93,29.21,29.45,109830
2014-05-29,29.21,29.69,29.21,29.45,77340
2014-05-30,29.45,29.93,29.45,29.45,138880
2014-06-02,29.45,29.93,29.21,29.69,145600
2014-06-03,29.69,29.93,29.45,29.69,67150
2014-06-04,29.69,29.93,29.45,29.69,182950
2014-06-05,29.93,29.93,29.21,29.69,85820
2014-06-06,29.69,29.69,29.45,29.69,31640
2014-06-09,29.69,29.93,29.45,29.69,167320
2014-06-10,29.45,29.69,29.21,29.21,159700
2014-06-11,29.45,29.45,28.97,29.21,197300
2014-06-12,29.21,29.45,29.21,29.45,105560
2014-06-13,29.69,29.69,29.21,29.21,140310
2014-06-16,29.21,29.45,29.21,29.21,49920
2014-06-17,29.21,29.45,29.21,29.21,174680
2014-06-18,29.21,29.45,28.97,29.21,97760
2014-06-19,28.97,29.21,28.97,28.97,95070
2014-06-20,29.21,29.21,28.97,28.97,82380
2014-06-23,28.97,29.21,28.97,28.97,53690
2014-06-24,28.97,29.21,28.97,28.97,56020
2014-06-25,29.21,29.45,28.97,29.21,92390
2014-06-26,29.21,29.45,29.21,29.45,80110
2014-06-27,29.45,29.45,29.21,29.21,69240
2014-06-30,29.21,29.45,28.97,29.21,62820
2014-07-01,29.45,29.45,29.21,29.21,96620
2014-07-02,29.21,30.17,29.21,29.93,266720
2014-07-03,30.17,30.41,29.93,30.41,175410
2014-07-04,30.65,31.37,30.65,31.13,468050
2014-07-07,31.13,31.37,30.65,30.89,172450
2014-07-08,30.65,30.89,30.41,30.89,159400
2014-07-09,30.65,30.89,30.41,30.65,115540
