time,open,high,low,close,volume
2017-08-17,7.73,7.73,6.54,7.73,58299310
2017-08-18,7.53,7.63,7.37,7.37,1092840
2017-08-21,7.09,7.29,7.03,7.1,798670
2017-08-22,6.9,7.13,6.9,7.13,2295930
2017-08-23,7.13,7.29,7.08,7.17,520790
2017-08-24,7.2,7.2,7.09,7.18,678690
2017-08-25,7.11,7.19,7.09,7.19,615370
2017-08-28,7.13,7.19,7.11,7.19,761670
2017-08-29,7.15,7.19,7.12,7.19,990000
2017-08-30,7.19,7.19,7.13,7.19,830100
2017-08-31,7.15,7.19,7.15,7.19,1196380
2017-09-01,7.15,7.19,7.15,7.19,978060
2017-09-05,7.14,7.21,7.14,7.21,1274130
2017-09-06,7.21,7.57,7.19,7.56,1269010
2017-09-07,7.57,7.79,7.57,7.64,900290
2017-09-08,7.63,7.63,7.56,7.57,339640
2017-09-11,7.53,7.55,7.31,7.33,655570
2017-09-12,7.33,7.43,7.21,7.4,330150
2017-09-13,7.4,7.45,7.35,7.43,312470
2017-09-14,7.43,7.45,7.39,7.42,268880
2017-09-15,7.42,7.45,7.4,7.41,352480
2017-09-18,7.41,7.43,7.38,7.39,323580
2017-09-19,7.39,7.39,7.31,7.32,820020
2017-09-20,7.32,7.39,7.3,7.31,789670
2017-09-21,7.31,7.32,7.28,7.31,535570
2017-09-22,7.31,7.31,7.23,7.27,1288830
2017-09-25,7.27,7.3,7.26,7.26,504360
2017-09-26,7.31,7.31,7.25,7.25,718370
2017-09-27,7.25,7.42,7.25,7.38,1473820
2017-09-28,7.39,7.49,7.37,7.38,1238590
2017-09-29,7.38,7.48,7.38,7.43,752340
2017-10-02,7.43,7.45,7.33,7.38,634350
2017-10-03,7.37,7.39,7.28,7.31,659660
2017-10-04,7.31,7.33,7.28,7.31,457470
2017-10-05,7.35,7.36,7.3,7.3,219990
2017-10-06,7.34,7.37,7.29,7.37,409110
2017-10-09,7.45,7.45,7.38,7.42,936770
2017-10-10,7.42,7.57,7.4,7.53,869010
2017-10-11,7.57,7.83,7.56,7.83,3495690
2017-10-12,7.84,8.09,7.79,7.94,2362040
2017-10-13,7.91,8.13,7.91,7.97,1322500
2017-10-16,7.97,8.16,7.97,8.07,2217910
2017-10-17,8.07,8.22,8.07,8.16,1689100
2017-10-18,8.32,8.34,8.18,8.18,2362080
2017-10-19,8.16,8.26,8.09,8.14,1057180
2017-10-20,8.14,8.24,8.14,8.18,1480860
2017-10-23,8.18,8.3,8.07,8.09,1498490
2017-10-24,8.11,8.11,8.02,8.07,826280
2017-10-25,8.07,8.15,7.99,8.12,1275530
